country,source,title,date_iso,summary,url,category,status
Burkina Faso,Burkina24,Burkina Faso: Adoption of a draft law on territorial collectivities and a decree on the Contract-Plan between the State and Poste-BF,2025-10-30,"0 Shares Share Twitter The President of Faso, Head of State, His Excellency Captain Ibrahim TRAORÉ, chaired the Council of Ministers this Thursday, October 30, 2025. During the press briefing at the end of the proceedings, the Government Spokesperson Minister, Mr. Pingdwendé Gilbert OUEDRAO...",https://burkina24.com/2025/10/30/burkina-faso-adoptions-dun-avant-projet-de-loi-sur-les-collectivites-territoriales-et-dun-decret-portant-contrat-plan-entre-letat-et-la-poste-bf/,port,
Burkina Faso,Burkina24,Gabon: The trial of Sylvia Bongo and her son Noureddin set for November 10 before the special criminal court,2025-10-30,"0 Shares Share Twitter In Gabon, judicial authorities have announced the upcoming trial of former first lady Sylvia Bongo Ondimba and her son Noureddin Bongo Valentin. They will be tried in Libreville, the Gabonese capital, before a special criminal court on November 10...",https://burkina24.com/2025/10/30/gabon-le-proces-de-sylvia-bongo-et-de-son-fils-noureddin-fixe-au-10-novembre-devant-la-cour-criminelle-speciale/,energy,
Burkina Faso,Burkina24,Burkina Faso: The 22nd session of CNLS-IST calls for restructuring and prioritizing actions for greater effectiveness in the fight against HIV/AIDS,2025-10-29,"0 Shares Share Twitter Captain Martha Céleste Anderson Dekomwin MEDAH, Minister Director of Cabinet of the President of Faso, representing the Head of State, President of the Conseil national de lutte contre le Sida et les Infections sexuellement transmissibles (CNLS-IST), chaired the 22nd session...",https://burkina24.com/2025/10/29/burkina-faso-la-22e-session-du-cnls-ist-appelle-a-restructurer-et-prioriser-les-actions-pour-plus-defficacite-dans-la-lutte-contre-le-vih-sida/,infrastructure,
Burkina Faso,Burkina24,"Sino-Burkinabè cooperation: The ""Enter Burkina Faso"" forum opens the way to new investments",2025-10-29,"0 Shares Share Twitter Burkina Faso is strengthening its economic ties with the People's Republic of China. The Embassy of Burkina Faso in Beijing, in partnership with the Database on traceable products of ""the Belt and Road"" and XINGFUDAIL commercial services company...",https://burkina24.com/2025/10/29/cooperation-sino-burkinabe-le-forum-entrer-au-burkina-faso-ouvre-la-voie-a-de-nouveaux-investissements/,infrastructure,
Burkina Faso,Burkina24,FEMULO 2025: The edition that rhymes live music with youth investment,2025-10-29,"0 Shares Share Twitter The Association des Musiciens Instrumentistes d'Afrique (AMIA) launched the 5th edition of the Festival des Musiques Urbaines Lives de Ouagadougou (FEMULO) this Wednesday, October 29, 2025 in Ouagadougou. The event, which celebrates urban musical creativity...",https://burkina24.com/2025/10/29/femulo-2025-ledition-qui-fait-rimer-musique-live-et-investissement-de-la-jeunesse/,infrastructure,
Burkina Faso,Burkina24,Burkina Faso: Deputy Prosecutor Noé Dofini Dakio takes oath as CENTIF correspondent,2025-10-30,"0 Shares Share Twitter The fight against money laundering and terrorist financing in Burkina Faso is being strengthened. The deputy prosecutor of Faso at the Tribunal de grande instance Ouaga I, Noé Dofini Dakio, took the oath on October 29, 2025 as correspondent of CENTIF...",https://burkina24.com/2025/10/30/burkina-faso-le-substitut-du-procureur-noe-dofini-dakio-prete-serment-comme-correspondant-de-la-centif/,infrastructure,
Burkina Faso,Burkina24,"Fuel affair in Mali: ""We will overcome this crisis like the previous ones we have gone through and resolved"" (Prime Minister)",2025-10-30,"0 Shares Share Twitter The Prime Minister, Major General Abdoulaye Maïga, also Minister of Territorial Administration and Decentralization, convened this Thursday, October 30, 2025, for an exchange meeting, religious and traditional authorities, as well as community leaders...",https://burkina24.com/2025/10/30/affaire-carburant-au-mali-nous-allons-surmonter-cette-crise-a-limage-des-precedentes-que-nous-avons-traversees-et-resolues-premier-ministre/,infrastructure,
Burkina Faso,Burkina24,"Karim la Joie stops in Ouaga: A One Man Show to ""laugh together"" in the service of peace",2025-10-29,"2 Shares Share Twitter Burkinabè web-humorist Karim la Joie is preparing to electrify the stage of Canal Olympia Ouaga 2000, on November 28, 2025, with his unprecedented One Man Show under the theme ""Laughter in the service of peace and social cohesion"". The announcement was made on Tuesday, October 28...",https://burkina24.com/2025/10/29/karim-la-joie-fait-escale-a-ouaga-un-one-man-show-pour-rire-ensemble-au-service-de-la-paix/,infrastructure,
Burkina Faso,Burkina24,Ouagadougou: A national week to fight against cybercrime,2025-10-30,"0 Shares Share Twitter Under the aegis of the Ministry of Security and in strategic partnership with mobile telephony leader Orange Burkina Faso, the Brigade Centrale de Lutte Contre la Cybercriminalité (BCLCC) launched the National Week to Fight Against Cybercrime...",https://burkina24.com/2025/10/30/ouagadougou-une-semaine-nationale-pour-lutter-contre-la-cybercriminalite/,infrastructure,
Burkina Faso,Burkina24,Bobo-Dioulasso: RAYNAL Assurances unveils its Digital Universe,2025-10-29,"0 Shares Share Twitter The company RAYNAL Assurances proceeded, on Tuesday, October 28, 2025, in Bobo-Dioulasso, in the Guiriko region, with the official presentation of its Digital Universe, a set of digital solutions designed to bring insurance services closer to the population...",https://burkina24.com/2025/10/29/bobo-dioulasso-raynal-assurances-devoile-son-univers-digital/,infrastructure,
Burkina Faso,Burkina24,Nobel Prize in Literature winner Wole Soyinka's American visa cancelled for his criticism of Donald Trump,2025-10-29,"1.2k Shares Share Twitter The Nobel Prize in Literature winner, Nigerian Wole Soyinka, had his visa for the United States cancelled due to his very harsh criticism of American President Donald Trump. The Nigerian author has taught at the greatest American universities. He recently received...",https://burkina24.com/2025/10/29/le-visa-americain-du-prix-nobel-de-litterature-wole-soyinka-annule-pour-ses-critiques-a-lencontre-de-donald-trump/,infrastructure,
Burkina Faso,Burkina24,Former South African President Jacob Zuma visits Burkina Faso to support the pan-Africanist vision,2025-10-29,"452 Shares Share Twitter The former President of the Republic of South Africa, Jacob Zuma, arrived in Ouagadougou this Wednesday, October 29, 2025, as part of the Conference of Afro-descendants currently being held in Burkina Faso. Welcomed at Ouagadougou international airport...",https://burkina24.com/2025/10/29/lancien-president-sud-africain-jacob-zuma-en-visite-au-burkina-faso-pour-soutenir-la-vision-panafricaniste/,port,
Burkina Faso,Burkina24,Ouagadougou: Arrondissement 9 celebrates its best students and school supervisors,2025-10-29,"0 Shares Share Twitter Excellence was celebrated this Wednesday, October 29, 2025 at the ""Château A"" primary school in the 9th arrondissement of Ouagadougou. The 9th arrondissement through the Presidency of the special delegation (PDS) made a stop to celebrate academic excellence. J...",https://burkina24.com/2025/10/29/ouagadougou-larrondissement-9-celebre-ses-meilleurs-eleves-et-encadreurs-scolaires/,infrastructure,
