country,source,title,date_iso,summary,url,category,status
Burkina Faso,Gouvernement.gov.bf,Commémoration du 15 octobre 1987 : un cérémonial militaire désormais institué,2025-10-16,"‎Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a présidé, ce mercredi 15 octobre 2025 à Ouagadougou, la cérémonie officielle marquant la 38ᵉ Journée d’hommage au Président Thomas Sankara et à ses douze compagnons. Il a livré le message du Capitaine Ibrahim Traoré à l’occasion de cette commémoration empreinte de recueillement et de ferveur patriotique, qui […]",https://gouvernement.gov.bf/commemoration-du-15-octobre-1987-un-ceremonial-militaire-desormais-institue/,port,
Burkina Faso,Gouvernement.gov.bf,Forum Invest In Sénégal : le Premier ministre est arrivé à Dakar,2025-10-07,"Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, est arrivé, ce lundi 6 octobre 2025, à Dakar, où il prendra part au Forum Invest In Sénégal, les 7 et 8 octobre au Centre international de conférences Abdou Diouf. Il a été accueilli, à sa descente d’avion, à l’aéroport international Blaise Diagne, par son homologue sénégalais, Ousmane […]",https://gouvernement.gov.bf/forum-invest-in-senegal-le-premier-ministre-est-arrive-a-dakar/,port,
Burkina Faso,Gouvernement.gov.bf,Athlétisme : le Premier ministre salue la brillante carrière de Hugues Fabrice Zango,2025-10-15,"Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a reçu en audience, ce mercredi 15 octobre 2025, le champion du monde de triple saut, Hugues Fabrice Zango. Accompagné du ministre des Sports, de la Jeunesse et de l’Emploi, Roland Somda, l’athlète est venu présenter officiellement au Chef du Gouvernement son souhait de mettre un terme à […]",https://gouvernement.gov.bf/athletisme-le-premier-ministre-salue-la-brillante-carriere-de-hugues-fabrice-zango/,port,
Burkina Faso,Gouvernement.gov.bf,Concertation État–ONG : une alliance renforcée contre le financement illicite et le terrorisme,2025-10-03,"‎Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a présidé, ce vendredi 3 octobre 2025, à Ouagadougou, la cérémonie de clôture des Journées Nationales de Concertation État – ONG, Associations de développement et Fondations. Placées sous le thème « Transparence et responsabilité financière des ONG dans le cadre de la lutte contre le terrorisme au Burkina […]",https://gouvernement.gov.bf/concertation-etat-ong-une-alliance-renforcee-contre-le-financement-illicite-et-le-terrorisme/,port,
Burkina Faso,Gouvernement.gov.bf,23e JAMT : une commémoration sous le signe de la valorisation du savoir et du savoir-faire endogènes,2025-10-11,"Ce samedi, 11 octobre 2025, le Ministre de la Santé, Dr Robert Kargougou, représentant Son Excellence Monsieur le Premier Ministre, Chef du Gouvernement, a présidé à Kaya, dans la région des Koulsé, la cérémonie marquant la vingt-troisième Journée africaine de la médecine traditionnelle (JAMT). La célébration s’est déroulée en présence du Ministre en charge de […]",https://gouvernement.gov.bf/23e-jamt-une-commemoration-sous-le-signe-de-la-valorisation-du-savoir-et-du-savoir-faire-endogenes/,port,
Burkina Faso,Gouvernement.gov.bf,UNFPA : la nécessité d’un alignement des programmes sur les priorités nationales,2025-10-11,"Le ministre de l’Economie et des Finances, Dr Aboubakar NACANABO, a reçu en audience, le vendredi 10 octobre 2025, à Ougadougou, le nouveau Représentant résident par intérim du Fonds des Nations Unies pour la Population (UNFPA) au Burkina Faso, Cheikh Tidiane CISSE. Les échanges ont porté sur la collaboration future et l’alignement des programmes de […]",https://gouvernement.gov.bf/unfpa-la-necessite-dun-alignement-des-programmes-sur-les-priorites-nationales/,port,
Burkina Faso,Gouvernement.gov.bf,Forum de Lomé sur la paix et la sécurité : entre « concert des nations » et coup de gueule du chef de la diplomatie burkinabè,2025-10-13,"Lomé, 13 octobre 2025 Le Ministre des Affaires étrangères, de la Coopération régionale et des Burkinabè de l’Extérieur, SEM Karamoko Jean Marie TRAORE, a pris part les 11 et 12 octobre 2025 à Lomé, en République Togolaise, à la 2e édition du Lomé Peace and Sécurity Forum. Initiée par les autorités togolaises en collaborations avec […]",https://gouvernement.gov.bf/forum-de-lome-sur-la-paix-et-la-securite-entre-concert-des-nations-et-coup-de-gueule-du-chef-de-la-diplomatie-burkinabe/,port,
Burkina Faso,Gouvernement.gov.bf,Forum Invest In Sénégal : le Premier ministre décortique la recomposition géopolitique.,2025-10-08,"Dans le cadre du Forum Invest In Sénégal 2025, le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a animé, ce mardi 07 octobre 2025, au Centre International de Conférences Abdou Diouf de Diomniadio, un panel de haut niveau sur le thème : »Renaissance : résilience, innovation, transformation », aux côtés de ses homologues sénégalais, Ousmane Sonko, et nigérien, […]",https://gouvernement.gov.bf/forum-invest-in-senegal-le-premier-ministre-decortique-la-recomposition-geopolitique/,port,
Burkina Faso,Gouvernement.gov.bf,Journée mondiale de la Poste 2025,2025-10-10,"Le Burkina Faso, à l’instar des autres pays membres de l’Union postale universelle (UPU), célèbre du 9 au 11 octobre 2025 la Journée Mondiale de la Poste (JMP), placée cette année sous le thème « Service local, portée mondiale ». Cette célébration vise à mettre en lumière le rôle stratégique du secteur postal dans le […]",https://gouvernement.gov.bf/journee-mondiale-de-la-poste-2025/,port,
Burkina Faso,Gouvernement.gov.bf,Diplomatie de proximité : le Premier ministre échange avec la communauté burkinabè du Sénégal,2025-10-08,"‎En marge de sa participation au Forum Invest In Sénégal 2025, le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a échangé avec la diaspora burkinabè établie au Sénégal, ce mardi 07 octobre 2025. Cette activité s’est déroulée à la résidence de l’ambassadeur du Burkina Faso à Dakar. La communauté burkinabè établie au Sénégal a accueilli avec […]",https://gouvernement.gov.bf/diplomatie-de-proximite-le-premier-ministre-echange-avec-la-communaute-burkinabe-du-senegal/,port,
