country,source,title,date_iso,summary,url,category,status
Burkina Faso,L'Economiste du Faso,"The Official Bulletin of the BRVM Exchange as of October 29, 2025",2025-10-30,"The Official Bulletin of the BRVM Exchange as of October 29, 2025 and the attached documents are made available to you via the following download link: https://bfin.brvm.org/boc/boc_jour.aspx. Attached documents: Notice N°260/BRVM/2025 – Payment of semi-annual interest and final repayment of principal – ETAT DU SENEGAL 6.30% 2015-2025 (EOS.O7); Notice N°261/BRVM/2025 – DELISTING …",https://leconomistedufaso.com/2025/10/30/le-bulletin-officiel-de-la-cote-de-la-brvm-du-29-octobre-2025/,port,
Burkina Faso,L'Economiste du Faso,"The Official Bulletin of the BRVM Exchange as of October 28, 2025",2025-10-29,"The Official Bulletin of the BRVM Exchange as of October 28, 2025 and the attached documents are made available to you via the following download link: https://bfin.brvm.org/boc/boc_jour.aspx. Attached documents: Financial Rating – ECOBANK CI; Financial Rating – NSIA BANQUE CI; Activity Report – 1st half 2025 – SOGB CI; Activity Report – 1st …",https://leconomistedufaso.com/2025/10/29/le-bulletin-officiel-de-la-cote-de-la-brvm-du-28-octobre-2025/,port,
Burkina Faso,L'Economiste du Faso,Indian hemp trafficking: the Gendarmerie Nationale dismantles a network of local growers and dealers in Guiaro,2025-10-28,"• Persons arrested • And fields destroyed Alerted by concerned residents, the Territorial Gendarmerie Brigade of Guiaro put an end to a local network of production and sale of Indian hemp in several villages of the department. Three (03) persons were arrested and the fields destroyed. The consumption of hemp …",https://leconomistedufaso.com/2025/10/28/trafic-de-chanvre-indien-la-gendarmerie-nationale-demantele-un-reseau-de-cultivateurs-et-revendeurs-locaux-a-guiaro/,port,
Burkina Faso,L'Economiste du Faso,"The Official Bulletin of the BRVM Exchange as of October 27, 2025",2025-10-28,"The Official Bulletin of the BRVM Exchange as of October 27, 2025 and the attached documents are made available to you via the following download link: https://bfin.brvm.org/boc/boc_jour.aspx. Attached documents: Activity Report – 3rd quarter 2025 – LNB BN; Dividend payment calendar; Net Asset Values of OPCVM as of 10-24-2025. Click here: BOC_20251027",https://leconomistedufaso.com/2025/10/28/le-bulletin-officiel-de-la-cote-de-la-brvm-du-27-octobre-2025/,port,
Burkina Faso,L'Economiste du Faso,Control of the wage bill: Burkina Faso made enormous efforts in 2024,2025-10-27,"• A rate of 41.34% in 2024, compared to 47.55% in 2023 • Wage bill: it increased from 500 billion to more than 1,097 billion FCFA in 10 years • A tax pressure rate of 18.40% in 2024, compared to 17.20% in 2023 On February 20, 2024, during the 2nd edition of the Annual Assembly …",https://leconomistedufaso.com/2025/10/27/maitrise-de-la-masse-salariale-le-burkina-faso-a-fait-denormes-efforts-en-2024/,port,
Burkina Faso,L'Economiste du Faso,Coris Bank International- SA: offers a school complex to the Circonscription d'Education de Base (CEB) of Boussouma 2.,2025-10-30,"At a total cost of more than 130 million FCFA Coris Bank International (CBI- SA), put an end to straw-roofed classrooms that made learning difficult for a thousand students in the circonscription d'éducation de base (CEB) of Boussouma 2 in the province of Sandbondtenga, Kuislé region. From now on, thanks to CBI-SA, the students of …",https://leconomistedufaso.com/2025/10/30/coris-bank-international-sa-offre-un-complexe-scolaire-a-la-circonscription-deducation-de-base-ceb-de-boussouma-2/,port,
Burkina Faso,L'Economiste du Faso,Update on the Councils of Ministers of UEMOA zone countries,2025-10-27,"Regarding the Councils of Ministers of UEMOA zone countries, the SA2IF teams present the following summary. BENIN The Council of Ministers met this Wednesday, October 15, 2025, under the chairmanship of Mr. Patrice TALON, President of the Republic. UNDER THE CHAPTER OF LEGISLATIVE AND REGULATORY MEASURES Transmission to the Assembly …",https://leconomistedufaso.com/2025/10/27/point-sur-les-conseils-des-ministres-des-pays-de-la-zone-uemoa-35/,port,
Burkina Faso,L'Economiste du Faso,Will AI enable the West to repay its debts?,2025-10-27,"NEW HAVEN – AI is undeniably transforming the global economy today at an unprecedented speed. Will it nevertheless save rich countries from the intensification of debt-related pressures, particularly at a time when the rapid aging of the population is exerting increasing strain on social solidarity? If so, can these countries afford to dig deeper …",https://leconomistedufaso.com/2025/10/27/lia-permettra-t-elle-a-loccident-de-rembourser-ses-dettes/,port,
Burkina Faso,L'Economiste du Faso,Market Capitalization; The BRVM increases by 1000 billion FCFA in 4 months!,2025-10-27,"The Bourse régionale des valeurs mobilières (BRVM) reached, this Wednesday, October 15, 2025, a new stage in its development, achieving a record market capitalization of 13,014.67 billion FCFA. This unprecedented level demonstrates the exceptional dynamism of our regional financial market, common to the eight member countries of the Union économique et monétaire ouest-africaine (UEMOA). …",https://leconomistedufaso.com/2025/10/27/capitalisation-boursiere-la-brvm-progresse-de-1000-milliards-fcfa-en-4-mois/,port,
Burkina Faso,L'Economiste du Faso,IAMGOLD Essakane SA: the mine strengthens its local economic ecosystem,2025-10-27,"• Through a strategic roundtable with its local suppliers • Bringing together about forty entrepreneurs and service providers from the Liptako region • Both parties developed a common roadmap to consolidate collaboration ""When we talk about local, we mean local. The challenge is no longer just to have …",https://leconomistedufaso.com/2025/10/27/iamgold-essakane-sa-la-mine-renforce-son-ecosysteme-economique-local/,port,
