country,source,title,date_iso,summary,url,category,status
Ethiopia,Capital Ethiopia,Breaking the Speculative Spell on Our Capital,2025-10-26,"The dream of a home in Addis Ababa is a peculiar kind of fever. It grips the young professional, the returning diaspora, the family saving for generations. It is a dream built on a foundation of concrete, steel, and a paradox so profound it defines the city’s skyline, a forest of half-finished towers and condominiums. […]",https://capitalethiopia.com/2025/10/26/breaking-the-speculative-spell-on-our-capital/,,
Ethiopia,Capital Ethiopia,"In an era of global health challenges, Ethiopia’s fight against Polio highlights the need for vigilance and commitment",2025-10-26,"Amid soaring global health challenges—ranging from limited resources and conflict to rampant misinformation—Ethiopia stands at a critical crossroads in its fight against vaccine-preventable diseases like polio. After achieving the monumental milestone of being declared wild polio-free in 2017, Ethiopia now faces a renewed threat from circulating vaccine-derived poliovirus type 2 (cVDPV2), underscoring the fragile nature […]",https://capitalethiopia.com/2025/10/26/in-an-era-of-global-health-challenges-ethiopias-fight-against-polio-highlights-the-need-for-vigilance-and-commitment/,,
Ethiopia,Capital Ethiopia,Financial system struggles in Africa’s fastest-growing economy due to market and legal weaknesses,2025-10-26,"Ethiopia is projected to achieve Africa’s highest annual GDP growth rate at 7.4% over the next five years, but its financial system is being tested by significant structural weaknesses, according to the latest ABSA African Financial Markets Index (AFMI) 2025 report. The report praises Ethiopia’s promising macroeconomic outlook but ranks the country last among 29 […]",https://capitalethiopia.com/2025/10/26/financial-system-struggles-in-africas-fastest-growing-economy-due-to-market-and-legal-weaknesses/,,
Ethiopia,Capital Ethiopia,Global effort to eradicate Polio faces “hardest last mile” amid new outbreaks in Ethiopia,2025-10-26,"On World Polio Day, October 24, 2025, global health partners, government officials, and volunteers reaffirmed their determination to eradicate the final 0.1% of global polio transmission. The renewed commitment comes at a critical time, as Ethiopia battles a surge in circulating vaccine-derived poliovirus (cVDPV) outbreaks — underscoring the ongoing challenges in the decades-long fight against […]",https://capitalethiopia.com/2025/10/26/global-effort-to-eradicate-polio-faces-hardest-last-mile-amid-new-outbreaks-in-ethiopia/,,
Ethiopia,Capital Ethiopia,EIH negotiates transfer of ERC’s foreign debt to sovereign debt,2025-10-26,"Ethiopian Investment Holdings (EIH), the country’s sovereign wealth fund, has announced negotiations to transfer the substantial foreign debt of the Ethiopian Railways Corporation (ERC) to the government’s sovereign debt. This move aims to revitalize the key state-owned enterprise and is part of a broader debt re-profiling strategy initiated by the Ethiopian government with its official […]",https://capitalethiopia.com/2025/10/26/eih-negotiates-transfer-of-ercs-foreign-debt-to-sovereign-debt/,,
Ethiopia,Capital Ethiopia,ERC to Launch Major Investment Strategy with Private and Foreign Partnerships,2025-10-24,"The Ethiopian Railways Corporation (ERC) is finalizing a new, comprehensive investment strategy that will involve partnering with private and foreign investors to fund a diverse portfolio of real estate and infrastructure projects, signaling a significant shift towards a commercial and partnership-driven model. The state-owned corporation, primarily responsible for national railway development, has announced that its […]",https://capitalethiopia.com/2025/10/24/erc-to-launch-major-investment-strategy-with-private-and-foreign-partnerships/,,
Ethiopia,Capital Ethiopia,Invitarion for Bid,2025-10-29,"The International Rescue Committee, hereinafter referred to as “the IRC”, is a non-profit, humanitarian agency that provides relief, rehabilitation, protection, resettlement services, and advocacy for refugees, displaced persons and victims of oppression and violent conflict.The IRC – Ethiopia Program has been working in Ethiopia since 1999 and is implementing integrated community-managed programs aimed at improving […]",https://capitalethiopia.com/2025/10/29/invitarion-for-bid/,,
Ethiopia,Capital Ethiopia,GameZone: Discover the Enduring Charm of Pusoy Offline,2025-10-30,"Pusoy offline continues to be a favorite among card game enthusiasts who appreciate a blend of strategy, quick thinking, and competitive spirit. Despite the shift toward digital gaming, the core excitement of Pusoy remains intact—crafting superior hands to outwit opponents. The offline mode adds a remarkable convenience, allowing players to enjoy the game without the […]",https://capitalethiopia.com/2025/10/30/gamezone-discover-the-enduring-charm-of-pusoy-offline/,,
Ethiopia,Capital Ethiopia,The Horn Economic and Social Policy Institute,2025-10-29,"P.O. Box 2692 code 1250, Addis Ababa, Ethiopia. Tel: 2511 5 153262/65. Fax.2511 5 15 07 63;Email: contacthespi@hespi.org; Website: www.hespi.orgCALL FOR A CONSULTANCY SERVICE TO PRODUCE PROMOTIONAL AND EDUCATIONAL VIDEOSOctober, 202The Horn Economic and Social Policy Institute (HESPI) is a regional policy research and capacity building organization based in Addis Ababa. The Institute wants to […]",https://capitalethiopia.com/2025/10/29/the-horn-economic-and-social-policy-institute/,,
Ethiopia,Capital Ethiopia,"In the Horn of Africa, a contest for the sea",2025-10-26,"From the air, Somalia’s coastline unfurls endlessly, a ribbon of sand and sea stretching more than 2,000 miles from Kenya to Djibouti. That same coastline now lies at the heart of a contest that could define the Horn of Africa for a generation. Its a contest of who controls access to the sea and what […]",https://capitalethiopia.com/2025/10/26/in-the-horn-of-africa-a-contest-for-the-sea/,,
