country,source,title,date_iso,summary,url,category,status
Ethiopia,Capital Ethiopia,REQUEST FOR PROPOSALS FOR,2025-09-30,Rehabilitation and upgrading of school WASH and Menstrual Health Management/MHM/ facilities for 15 Secondary Schools in Afar Region LRFP-2025-9200050 Topic- UNICEF (Ethiopia) wishes to request eligible bidders to participate in a Request for Proposal (LRFP) for Rehabilitation and upgrading of school WASH and Menstrual Health Management/MHM/ facilities for 15 Secondary Schools in Afar Region. Details […],https://capitalethiopia.com/2025/09/30/request-for-proposals-for-19/,,
Ethiopia,Capital Ethiopia,Addis Ababa Summit Urges Africa to Act on Debt Crisis,2025-10-12,"Addis Ababa this week hosted a high-level gathering that leaders and economists described as pivotal to the future of Africa’s public finances. Convened under the theme From Taxation to Action: Bridging Policy and Implementation in Public Financial Management in Africa, the 11th Africa Think Tank Summit 2025 brought sharp focus to the continent’s worsening debt […]",https://capitalethiopia.com/2025/10/12/addis-ababa-summit-urges-africa-to-act-on-debt-crisis/,,
Ethiopia,Capital Ethiopia,"Regulatory, financial barriers stall circular economy progress",2025-10-05,"Ethiopia has made notable policy advances to support its green transformation, including the National Circular Economy Roadmap, Plastic Waste Strategy, and Solid Waste Management Proclamation. However, the implementation of these frameworks faces major hurdles that threaten the country’s environmental and economic ambitions. Senior officials, development partners, and social entrepreneurs recently convened to discuss challenges including […]",https://capitalethiopia.com/2025/10/05/regulatory-financial-barriers-stall-circular-economy-progress/,,
Ethiopia,Capital Ethiopia,Djibouti wins expo award as economy emerges among region’s fastest-growing,2025-10-13,"By our staff reporter The Republic of Djibouti is enjoying an exceptional moment on the global stage, earning a cultural distinction at the Osaka 2025 World Expo just as new economic forecasts highlight its rising regional prominence. Djibouti’s pavilion was awarded the Bronze Trophy in the “Development of the Theme” category, placing the nation among […]",https://capitalethiopia.com/2025/10/13/djibouti-wins-expo-award-as-economy-emerges-among-regions-fastest-growing/,,
Ethiopia,Capital Ethiopia,EDR transforms into Holding Company with World Bank support,2025-10-12,"The Ethio-Djibouti Railway (EDR) SC is undergoing a significant transformation into a holding company, driven by a newly secured World Bank project. This strategic shift positions the railway operator as a vital contributor to engineering and human development within Africa’s transport sector. CEO Takele Uma announced this initiative during the launch of EDR’s first privately […]",https://capitalethiopia.com/2025/10/12/edr-transforms-into-holding-company-with-world-bank-support/,,
Ethiopia,Capital Ethiopia,Tigray faces escalating irregular migration and gang violence amid fragile peace,2025-10-19,"The Tigray region of Ethiopia is grappling with a mounting security and social crisis, more than two years after the 2022 Cessation of Hostilities Agreement (CoHA) marked the official end to widespread conflict. Despite the return of formal peace, new waves of gang activity and irregular migration among youth are transforming the landscape, as profound […]",https://capitalethiopia.com/2025/10/19/tigray-faces-escalating-irregular-migration-and-gang-violence-amid-fragile-peace/,,
Ethiopia,Capital Ethiopia,"Sinoma opens Tafo Concrete Plant, plans nationwide expansion",2025-10-22,"By our staff reporter Sinoma International Engineering Corporation Limited has officially opened its Tafo ready-mix concrete plant in Ethiopia, marking a major step in expanding its industrial footprint in the country. This facility is the first of ten planned production sites that aim to significantly enhance the supply of building materials crucial for Ethiopia’s rapidly […]",https://capitalethiopia.com/2025/10/22/sinoma-opens-tafo-concrete-plant-plans-nationwide-expansion/,,
Ethiopia,Capital Ethiopia,Invisible Hand,2025-10-05,"The invisible hand, a concept coined by Adam Smith in his seminal work “The Wealth of Nations,” describes the unseen market forces that drive a free economy through self-interest and voluntary trades. This metaphor illustrates how individuals, in pursuing their own goals, inadvertently contribute to societal welfare. The dynamics of supply and demand naturally adjust […]",https://capitalethiopia.com/2025/10/05/invisible-hand/,,
Ethiopia,Capital Ethiopia,Chinese firm to transform Horn of Africa into natural gas hub with Djibouti Facility,2025-10-19,"A major Chinese energy firm is set to transform the Horn of Africa’s energy landscape, positioning the region as a new natural gas hub. Central to this ambitious vision is an innovative floating facility in Djibouti that will liquefy and export hundreds of thousands of cubic meters of Ethiopian gas daily. This landmark export project […]",https://capitalethiopia.com/2025/10/19/chinese-firm-to-transform-horn-of-africa-into-natural-gas-hub-with-djibouti-facility/,,
Ethiopia,Capital Ethiopia,Channeling Africa’s Capital for Africa’s Sustainable Future,2025-10-12,"The International Finance Corporation (IFC) convened a press roundtable with senior leadership to explore how Africa’s financial sector can unlock and channel domestic capital toward sustainable development. The session was led by IFC’s Regional Director for Southern Africa Claudia Conceicao, to discuss innovative financial solutions driving inclusive growth across the continent. The roundtable was held […]",https://capitalethiopia.com/2025/10/12/channeling-africas-capital-for-africas-sustainable-future/,,
