country,source,title,date_iso,summary,url,category,status
Ethiopia,Ministry of Urban Infrastructure & Development,The Ministry inaugurated the houses built by the office for the underprivileged citizens during the summer volunteer service and handed them over to the beneficiaries.,2025-10-27,"Harar, October 16, 2018 (K.M.L.M.) The Ministry of Urban and Infrastructure has inaugurated and handed over the houses built by the Ministry of Urban and Infrastructure to the beneficiaries during […]",https://mui.gov.et/the-ministry-inaugurated-the-houses-built-by-the-office-for-the-underprivileged-citizens-during-the-summer-volunteer-service-and-handed-them-over-to-the-beneficiaries/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,ሚኒሰቴር መ/ቤቱ በክረምት በጎ ፈቃድ አገልግሎት ለአቅመ ደካማ ዜጎች ያስገነባቸውን መኖሪያ ቤቶች አስመርቆ ለተጠቃሚዎች አስረከበ,2025-10-27,ሐረር፣ ጥቅምት 16 ቀን፣ 2018 ዓ.ም (ከ.መ.ል.ሚ) የከተማና መሠረተ-ልማት ሚኒስቴር በክረምት በጎ ፈቃድ አገልግሎት ለአቅመ ደካማ ዜጎች ያስገነባቸውን መኖሪያ ቤቶች አስመርቆ ለተጠቃሚዎች አስረክቧል፡፡ በሐረር ብሔራዊ ክልላዊ መንግሰት በአማር ኑር ወረዳ […],https://mui.gov.et/language/am/%e1%88%9a%e1%8a%92%e1%88%b0%e1%89%b4%e1%88%ad-%e1%88%98-%e1%89%a4%e1%89%b1-%e1%89%a0%e1%8a%ad%e1%88%a8%e1%88%9d%e1%89%b5-%e1%89%a0%e1%8c%8e-%e1%8d%88%e1%89%83%e1%8b%b5-%e1%8a%a0%e1%8c%88%e1%88%8d/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,የመሠረተ-ልማት ዘርፍ ተቋማት የመጀመሪያው ሩብ አመት አፈጻጸም ተገመገመ,2025-10-27,አዲስ አበባ፣ ጥቅምት 11/2018፣ (ከመልሚ) ተጠሪነታቸው ለከተማና መሠረተ-ልማት ሚኒስቴር የመሠረተ-ልማት ዘርፍ የሆኑ ተቋማት የ2018 በጀት ዓመት የመጀመሪያ ሩብ ዓመት የእቅድ አፈጻጸም የተጠሪ ተቋማቱ የስራ ኃላፊዎችና የማኔጅመንት አካላት በተገኙበት ተገምግሟል፡፡ የዕቅድ […],https://mui.gov.et/language/am/%e1%8b%a8%e1%88%98%e1%88%a0%e1%88%a8%e1%89%b0-%e1%88%8d%e1%88%9b%e1%89%b5-%e1%8b%98%e1%88%ad%e1%8d%8d-%e1%89%b0%e1%89%8b%e1%88%9b%e1%89%b5-%e1%8b%a8%e1%88%98%e1%8c%80%e1%88%98%e1%88%aa%e1%8b%ab/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,የሚኒስቴር መ/ቤቱ የ2018 በጀት ዓመት የመጀመሪያ ሩብ ዓመት ዕቅድ አፈጻጸም ተገመገመ,2025-10-27,አዲስ አበባ፣ ጥቅምት 10፣ 2018 ዓ.ም (ከመልሚ) የከተማና መሠረተ-ልማት ሚኒስቴር የማኔጅሜንት አባላት የ2018 በጀት ዓመት የመጀመሪያ ሩብ ዓመት ዕቅድ አፈጻጸምን በጠንካራ ጎን እና በክፍተት የተስተዋሉ ጉዳዮችን በጥልቀት ገምግመዋል፡፡ በየደረጃው የሚገኙ […],https://mui.gov.et/%e1%8b%a8%e1%88%9a%e1%8a%92%e1%88%b5%e1%89%b4%e1%88%ad-%e1%88%98-%e1%89%a4%e1%89%b1-%e1%8b%a82018-%e1%89%a0%e1%8c%80%e1%89%b5-%e1%8b%93%e1%88%98%e1%89%b5-%e1%8b%a8%e1%88%98%e1%8c%80%e1%88%98-2/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,የብሔራዊ ጥቅም እና ጂኦስትራቴጂካል እንዲሁም ሀገራዊ ጉዳዮች ላይ ውይይት ተካሄደ,2025-10-27,አድስ አበባ ጥቅምት 07፣ 2018 ዓ.ም (ከመልሚ) የከተመና መሠረተ ልማት ሚኒስቴር አመራር እና ሰራተኞች የብሔራዊ ጥቅም እና ጂኦስትራቴጂካል ሀገራዊ ጉዳዮች ላይ ውይይት አካሄዱ። ለውይይት በቀረበው ሰነድ የብሔራዊ ጥቅም ምንነት፣ የኢኮኖሚ […],https://mui.gov.et/language/am/%e1%8b%a8%e1%89%a5%e1%88%94%e1%88%ab%e1%8b%8a-%e1%8c%a5%e1%89%85%e1%88%9d-%e1%8a%a5%e1%8a%93-%e1%8c%82%e1%8a%a6%e1%88%b5%e1%89%b5%e1%88%ab%e1%89%b4%e1%8c%82%e1%8a%ab%e1%88%8d-%e1%8a%a5%e1%8a%95-3/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,የሠንደቅ ዓላማ ቀን በተለያዩ ዝግጅቶች በታላቅ ድምቀት ተከበረ,2025-10-15,አዲስ አበባ፣ ጥቅምት 3/2018 ዓ.ም፣ (ከመልሚ) የከተማና መሠረተ-ልማት ሚኒስቴር አመራርና ሠራተኞች በሀገር ዓቀፍ ደረጃ ለ18ኛ ጊዜ “ሰንደቅ ፤ ለብሔራዊ አንድነታችን፤ ለሉዓላዊነታችን እና ለኢትዮጵያ ሕዳሴ!” በሚል መሪ ቃል የሚከበረውን የሠንደቅ ዓላማ […],https://mui.gov.et/language/am/%e1%8b%a8%e1%88%a0%e1%8a%95%e1%8b%b0%e1%89%85-%e1%8b%93%e1%88%8b%e1%88%9b-%e1%89%80%e1%8a%95-%e1%89%a0%e1%89%b0%e1%88%88%e1%8b%ab%e1%8b%a9-%e1%8b%9d%e1%8c%8d%e1%8c%85%e1%89%b6%e1%89%bd-%e1%89%a0/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,የፌደራል ጠቅላይ ፍርድ ቤት የህንጻ ግንባታለተገልጋዮች ቀልጣፋና ዉጤታማ አገልግሎት  ለመስጠት የሚያስችል አላማን ታሳቢ በማድረግ ጥር 19 ቀን 2017 ዓ.ም የፌዴራል ጠቅላይ ፍርድ ቤት ፕሬዝደንት፣ የከተማና መሰረተ ልማት ሚኒስቴር ሚኒስትርና ሚኒስትር ዴኤታ፣ የዳኞች ተወካዮች እና የስራ ሃላፊዎች በተገኙበት የግንባታ ማስጀመሪያ መርሀ ግብር መካሄዱ ይታወቃል ፡፡,2025-10-15,በከተማና መሰረተ ልማት ሚኒስቴር የፌደራል መንግስት ህንጻዎች ግንባታ ፕሮጀክት ጽ/ቤት እና በይርጋለም ኮንስትራክሽን በተደረገው የውል ስምምነት መሠረት ላለፉት ወራት በተከናወነው ስራ አብዛኛውን ግንባታ በማጠናቀቅ የፈደራል ፍርድ ቤቶችና መደበኛ የችሎት ማስጀመሪያ […],https://mui.gov.et/language/am/%e1%8b%a8%e1%8d%8c%e1%8b%b0%e1%88%ab%e1%88%8d-%e1%8c%a0%e1%89%85%e1%88%8b%e1%8b%ad-%e1%8d%8d%e1%88%ad%e1%8b%b5-%e1%89%a4%e1%89%b5-%e1%8b%a8%e1%88%85%e1%8a%95%e1%8c%bb-%e1%8c%8d%e1%8a%95%e1%89%a3/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,የሚኒስቴር መ/ቤቱ ሠራተኞች የቴክኖሎጂ ዐውደ-ርዕይን ጎበኙ,2025-10-15,አዲስ አበባ፣ መስከረም 29/2018 ዓ.ም (ከመልሚ) የከተማና መሠረተ-ልማት ሚኒስቴር ሠራተኞች በአዲስ ዓለም አቀፍ ኮንቬንሽን ሴንተር በጉምሩክ ኮሚሽን የተዘጋጀውን የቴክኖሎጂ ዐውደ-ርዕይ በዛሬው ዕለት ጎብኝተዋል፡፡ በጉብኝቱ ሂደት ወደ ዘመናዊ ታክስ አስተዳደር ሥርዓት፣ […],https://mui.gov.et/language/am/%e1%8b%a8%e1%88%9a%e1%8a%92%e1%88%b5%e1%89%b4%e1%88%ad-%e1%88%98-%e1%89%a4%e1%89%b1-%e1%88%a0%e1%88%ab%e1%89%b0%e1%8a%9e%e1%89%bd-%e1%8b%a8%e1%89%b4%e1%8a%ad%e1%8a%96%e1%88%8e%e1%8c%82-%e1%8b%90/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,የከተማና መሰረተ  ልማት ሚኒስቴር  ከኢትዮጵያ ኮንስትራክሽን ስራ ተቋራጮች  ማህበር  ጋር የመግባቢያ ሰነድ ተፈራረሙ,2025-10-15,አዲስ አበባ፣ መስከርም 28 ፣ 2018 ዓ.ም  (ከመልሚ) እ.ኤ.አ ከ2025-2050 ለሚቀጥሉት 25 ዓመታት  የኮንስትራክሽን ኢንዱስትሪ ተግዳሮት እንደምፈታ የታመነበት የኮንስትራክሽን ኢንደስትሪ ትራንስፎርሜሽን ኢኒሼቲቭ ይፋ መደረጉ ይታወቃል፡፡ የኢኒሸቲቩ ዋና ማጠንጠኛ ከዘርፉ ባለድርሻ […],https://mui.gov.et/language/am/%e1%8b%a8%e1%8a%a8%e1%89%b0%e1%88%9b%e1%8a%93-%e1%88%98%e1%88%b0%e1%88%a8%e1%89%b0-%e1%88%8d%e1%88%9b%e1%89%b5-%e1%88%9a%e1%8a%92%e1%88%b5%e1%89%b4%e1%88%ad-%e1%8a%a8%e1%8a%a2%e1%89%b5/,infrastructure,
Ethiopia,Ministry of Urban Infrastructure & Development,በክረምት በጎ ፈቃድ አገልግሎት የተሰሩ ህንጻዎች ግንባታ ርክክብና የትምህርት ቁሳቁስ ድጋፍ ተደረገ,2025-10-15,ቱሉ አራራ፣ መስከረም 27/2018 ዓ.ም (ከመልሚ) በከተማና መሠረተ-ልማት ሚኒስቴርና በዘርፉ ተቋማት በክረምት በጎ ፈቃድ አገልግሎት በሰበታ ሀዋስ ወረዳ በቱሉ አራራ ከተማ የቱሉ አራራ ሁለተኛ ደረጃ ት/ቤት ቅጥር ግቢ ውስጥ የተገነቡ […],https://mui.gov.et/language/am/%e1%89%a0%e1%8a%ad%e1%88%a8%e1%88%9d%e1%89%b5-%e1%89%a0%e1%8c%8e-%e1%8d%88%e1%89%83%e1%8b%b5-%e1%8a%a0%e1%8c%88%e1%88%8d%e1%8c%8d%e1%88%8e%e1%89%b5-%e1%8b%a8%e1%89%b0%e1%88%b0%e1%88%a9-%e1%88%85/,infrastructure,
