country,source,title,date_iso,summary,url,category,status
Ghana,Citi Newsroom,Energy Minister calls for stronger regulation in electrical contracting sector,2025-10-30,The Minister for Energy and Green Transition  John Abdulai Jinapor  has engaged the leadership of the Ghana Electrical Contractors Association (GECA) to deliberate on reforms aimed at improving safety standards and professionalism within the electrical contracting industry. The meeting  held at t...,https://citinewsroom.com/2025/10/energy-minister-calls-for-stronger-regulation-in-electrical-contracting-sector/,infrastructure,
Ghana,Citi Newsroom,Soldier who attacked woman  pharmacist must be sacked – Vanderpuye,2025-10-30,National Coordinator of the District Road Improvement Programme (DRIP)  Nii Lantey Vanderpuye  has strongly condemned the actions of a Ghana Air Force officer who was arrested for allegedly assaulting a woman and a pharmacist at Burma Camp. The officer  identified as Warrant Officer Class One (WO...,https://citinewsroom.com/2025/10/soldier-who-attacked-woman-pharmacist-must-be-sacked-vanderpuye/,highway,
Ghana,Citi Newsroom,SSNIT DG: Pension contributions key to financial security after retirement,2025-10-30,Director-General of the Social Security and National Insurance Trust (SSNIT)  Kwesi Afreh Biney  has urged individuals and businesses to register with the SSNIT Scheme to secure their financial future and ensure stability during retirement. Speaking on the Citi Breakfast Show with Bernard Avle on...,https://citinewsroom.com/2025/10/ssnit-dg-pension-contributions-key-to-financial-security-after-retirement/,infrastructure,
Ghana,Citi Newsroom,Nana Konadu’s death a big blow to NDC and Ghana – Nii Lantey Vanderpuye,2025-10-30,National Coordinator of the District Road Improvement Programme (DRIP)  Nii Lantey Vanderpuye  has paid glowing tribute to the late former First Lady  Nana Konadu Agyeman Rawlings  describing her passing as a major loss to the National Democratic Congress (NDC) and the nation. Speaking on Channel...,https://citinewsroom.com/2025/10/nana-konadus-death-a-big-blow-to-ndc-and-ghana-nii-lantey-vanderpuye/,highway,
Ghana,Citi Newsroom,Rapid AI growth could increase misinformation – Mahama warns,2025-10-30,President John Dramani Mahama has warned that the unchecked expansion of Artificial Intelligence (AI) could fuel a new wave of global misinformation if not handled with responsibility and transparency. Speaking at the International Conference on Information Integrity in Paris  President Mahama ca...,https://citinewsroom.com/2025/10/rapid-ai-growth-could-increase-misinformation-mahama-warns/,infrastructure,
Ghana,Citi Newsroom,Kasoa tollbooth crash: Four confirmed dead,2025-10-30,The Ngleshie Amanfro District Police Command has confirmed that four people have died in the tragic accident that occurred near the Kasoa tollbooth on Sunday  October 26  2024. The deceased include the driver of the sprinter minibus  a male passenger  a Level 200 midwifery student from KAAF Unive...,https://citinewsroom.com/2025/10/kasoa-tollbooth-crash-four-confirmed-dead/,infrastructure,
Ghana,Citi Newsroom,Capital gains tax dampening market competitiveness — GSE,2025-10-30,Investor confidence in Ghana’s capital market is coming under renewed scrutiny following the implementation of the capital gains tax on securities  a policy that some stakeholders say risks reducing the market’s appeal to both local and foreign investors. While the Ghana Stock Exchange (GSE) rema...,https://citinewsroom.com/2025/10/capital-gains-tax-dampening-market-competitiveness-gse/,energy,
Ghana,Citi Newsroom,Lands Commission cracks down on ground rent defaulters in Accra’s prime areas,2025-10-30,The Lands Commission has begun an aggressive ground rent recovery and compliance enforcement exercise across some of Accra’s most expensive neighbourhoods as part of efforts to boost state revenue and restore discipline in land administration. The ongoing operation covers prime areas including Ai...,https://citinewsroom.com/2025/10/lands-commission-cracks-down-on-ground-rent-defaulters-in-accras-prime-areas/,infrastructure,ongoing
Ghana,Citi Newsroom,BoG confident Inflation will drop further by year-end as Cedi strengthens,2025-10-30,The Bank of Ghana (BoG) says it expects inflation to decline even further by the end of 2025  following months of sustained disinflation supported by a stronger cedi and disciplined policy management. Governor  Dr. Johnson Asiama  speaking at the launch of the Cedi@60 celebrations in Accra said h...,https://citinewsroom.com/2025/10/bog-confident-inflation-will-drop-further-by-year-end-as-cedi-strengthens/,port,planned
Ghana,Citi Newsroom,Ghana must build ‘reserves upon reserves’ amid gold gains – Economist,2025-10-30,Market analysts are urging managers of the economy to leverage favourable gold prices to build stronger foreign reserve buffers  despite Ghana’s external position showing improvement. The country’s gross international reserves currently stand at $12 billion  up from $10.7 billion in August 2025  ...,https://citinewsroom.com/2025/10/ghana-must-build-reserves-upon-reserves-amid-gold-gains-economist/,infrastructure,
