country,source,title,date_iso,summary,url,category,status
Ghana,Ghana Business News,Group calls on African states to vote against economic blockade on Cuba,2025-10-29,The AfriKan Continental Union Consult (ACUC) has called on African states to vote firmly once again against the United States economic blockade on Cuba. In a statement signed by Dr. Benjamin Anyagre Aziginaateeg  the Chief Executive Officer of ACUC  and copied to the Ghana News Agency (GNA)  it w...,https://www.ghanabusinessnews.com/2025/10/29/group-calls-on-african-states-to-vote-against-economic-blockade-on-cuba/,infrastructure,
Ghana,Ghana Business News,SSNIT to expand  remodel key hotels to boost investment returns – DG discloses  ,2025-10-30,Kwesi Afreh Biney (left) – Director-General of SSNIT. Mr. Kwesi Afreh Biney  the Director-General of the Social Security and National Insurance Trust (SSNIT)  has disclosed plans to expand and remodel some of the Trust’s key hotel investments as part of efforts to enhance returns and strengthen t...,https://www.ghanabusinessnews.com/2025/10/30/ssnit-to-expand-remodel-key-hotels-to-boost-investment-returns-dg-discloses/,infrastructure,planned
Ghana,Ghana Business News,Ghana government urged to tap local capital market for future port expansions,2025-10-27,Mr. Samson Asaki Awingobit  the Executive Secretary of the Importers and Exporters Association of Ghana  has urged the government to explore local funding options for future port infrastructure projects  such as the proposed Keta port. He suggested that the government could raise funds from the l...,https://www.ghanabusinessnews.com/2025/10/27/ghana-government-urged-to-tap-local-capital-market-for-future-port-expansions/,port,planned
Ghana,Ghana Business News,Two before court for alleged GH¢45 000 visa fraud,2025-10-28,Two persons have been arraigned before an Accra Circuit Court for allegedly defrauding a trader under the pretext of securing a Canadian visa. Isaac Abaidoo  a social worker  and Florence Mensah  a trader  have been jointly charged with conspiracy to commit crime in 2023  while Abaidoo faces an a...,https://www.ghanabusinessnews.com/2025/10/28/two-before-court-for-alleged-gh%c2%a245000-visa-fraud/,infrastructure,
Ghana,Ghana Business News,Bank of Ghana revises forex bureau licence renewal fee to GH¢2 000 ,2025-10-27,The Bank of Ghana (BoG) has revised the biennial licence renewal fee for all licensed Foreign Exchange Bureaux (FEBs) from GHS500 to GH¢2 000. The central bank announced the adjustment in a public notice dated October 24  2025  stating that the revision formed part of ongoing regulatory reforms t...,https://www.ghanabusinessnews.com/2025/10/27/bank-of-ghana-revises-forex-bureau-licence-renewal-fee-to-gh%c2%a22000/,infrastructure,ongoing
Ghana,Ghana Business News,Korea commits $28m to support Ghana’s STEM Phase II,2025-10-29,The government of Korea has pledged to inject an additional $28 million to support the second phase of the Science  Technology  Engineering  and Mathematics (STEM) project in Ghana. This commitment follows the successful implementation of the first phase of the STEM project  which improved scienc...,https://www.ghanabusinessnews.com/2025/10/29/korea-commits-28m-to-support-ghanas-stem-phase-ii/,port,
Ghana,Ghana Business News,Minister of Tourism highlights guest experience as key to industry growth ,2025-10-28,Madam Abla Dzifa Gomashie  Minister of Tourism  Culture and Creative Arts  has emphasised the importance of exceptional guest experiences in advancing Ghana’s tourism and hospitality industry. Speaking at the 50th Anniversary Symposium of the Ghana Hotels Association (GHA)  she said the hospitali...,https://www.ghanabusinessnews.com/2025/10/28/minister-of-tourism-highlights-guest-experience-as-key-to-industry-growth/,port,
Ghana,Ghana Business News,GhIS advocates value engineering to curb infrastructure budget overruns,2025-10-30,The Ghana Institution of Surveyors (GhIS) has called for the immediate integration of Value Engineering as a game-changing strategy to revolutionise the efficiency and impact of Ghana’s infrastructure projects. Highlighting its transformative potential  GhIS indicated that Value Engineering was e...,https://www.ghanabusinessnews.com/2025/10/30/ghis-advocates-value-engineering-to-curb-infrastructure-budget-overruns/,infrastructure,
Ghana,Ghana Business News,Government decentralizing mining permits to curb galamsey – Minister ,2025-10-30,Emmanuel Buah-Armah The Ministry of Lands and Natural Resources  through the Minerals Commission  is establishing District Offices to bring mining governance services closer to the people. “Indeed  decentralizing the mining permitting processes will deter people from engaging in illegal mining ac...,https://www.ghanabusinessnews.com/2025/10/30/government-decentralizing-mining-permits-to-curb-galamsey-minister/,infrastructure,planned
Ghana,Ghana Business News,Ghana government announces GH¢75.70b treasury issuance for Q4 2025 ,2025-10-27,The Ghana government  through the Bank of Ghana (BoG)  has announced plans to issue GH¢75.70 billion in treasury securities from October to December 2025. The issuance forms part of a broader strategy to revitalise the domestic capital market and enhance predictability and transparency in public ...,https://www.ghanabusinessnews.com/2025/10/27/ghana-government-announces-gh%c2%a275-70b-treasury-issuance-for-q4-2025/,highway,planned
