country,source,title,date_iso,summary,url,category,status
Ghana,Ghana News Agency,Omanhene of Denkyira transitions to his ancestral seat of authority today  ,2025-10-29,By Victoria Agyemang  GNA Jukwa (C/R)  Oct 29  GNA – A new chapter is unfolding in Denkyira’s rich history as Odeefo Boa Amponsem IV  the newly enstooled Omanhene (Paramount Chief) of Denkyira  prepares to make his symbolic journey to Abankesieso  near Dunkwa-on-Offin  following his grand enstool...,https://gna.org.gh/2025/10/omanhene-of-denkyira-transitions-to-his-ancestral-seat-of-authority-today/,infrastructure,
Ghana,Ghana News Agency,China tech wave an engine of global prosperity  not a threat,2025-10-30,— Xinhua Commentary Beijing  Oct. 29 (Xinhua/GNA) – China is doubling down on technological innovation to fuel its high-quality development in the next five-year period. This transition is poised to generate significant positive spillovers for global prosperity. In contrast to the narrative of th...,https://gna.org.gh/2025/10/china-tech-wave-an-engine-of-global-prosperity-not-a-threat/,infrastructure,
Ghana,Ghana News Agency,Cocoa-growing communities in Aiyinasi-North connected to national electricity grid  ,2025-10-29,By P. K.Yankey Abidjan (W/R)  Oct. 29  GNA – Six communities in cocoa-growing areas at Aiyinasi-North in the Ellembelle District of the Western Region have been connected to the national electricity grid. The communities are Abidjan  Santokrom  Asoredanho  Anloga  Dotsekrom  and New Adiembra. The...,https://gna.org.gh/2025/10/cocoa-growing-communities-in-aiyinasi-north-connected-to-national-electricity-grid/,energy,
Ghana,Ghana News Agency,Doctors Without Borders ordered to leave Libya by November,2025-10-30,Cairo  Oct 29  (dpa/GNA) – Libyan authorities in Tripoli have ordered the aid organization  Doctors Without Borders (MSF)  to leave the country by November 9  the group said on Wednesday. “No reason has been given to justify our expulsion  and the process remains unclear ” MSF said in a statement...,https://gna.org.gh/2025/10/doctors-without-borders-ordered-to-leave-libya-by-november-2/,infrastructure,
Ghana,Ghana News Agency,WASCAL launches third batch of energy and green hydrogen programme ,2025-10-30,By Hannah Awadzi Accra  Oct. 30  GNA – The Third batch of the International Masters Programme in Energy and Green Hydrogen has been launched on Thursday to explore green hydrogen ideas. Under the programme  about 60 students from the West African sub region are given scholarships to study green H...,https://gna.org.gh/2025/10/wascal-launches-third-batch-of-energy-and-green-hydrogen-programme/,energy,completed
Ghana,Ghana News Agency,Two employees of German subsidiary in the US killed,2025-10-30,New York  Oct 29  (dpa/GNA) – Two Germans have been killed in a violent crime in the US state of Tennessee  local media reported on Wednesday. The German company Barnstorfer Kunststofftechnik (Barku) announced on its website that the victims were employees of a subsidiary. Citing the local police...,https://gna.org.gh/2025/10/two-employees-of-german-subsidiary-in-the-us-killed/,port,planned
Ghana,Ghana News Agency,Bekwai circuit court hands 20-year jail terms to Fiankoma armed robbers,2025-10-29,By Samuel Ofori Boateng Bekwai (Ash)  Oct. 29  GNA – The Bekwai Circuit Court has sentenced three armed robbers to twenty years imprisonment each  for their involvement in a violent highway robbery incident that took place at Fiankoma near Jacobu in the Ashanti Region. The convicts- Peter Boadi  ...,https://gna.org.gh/2025/10/bekwai-circuit-court-hands-20-year-jail-terms-to-fiankoma-armed-robbers/,highway,
Ghana,Ghana News Agency,MP rolls out district-wide eye screening exercise at Ellembelle  ,2025-10-30,By P. K. Yankey  GNA Ampain (W/R)  Oct. 30  GNA – Mr Emmanuel Armah-Kofi Buah  the Member of Parliament (MP) for Ellembelle  has organised a free eye screening exercise across the Ellembelle District to help eliminate cataract disease among the people. The three-week health outreach programme  ai...,https://gna.org.gh/2025/10/mp-rolls-out-district-wide-eye-screening-exercise-at-ellembelle/,infrastructure,
Ghana,Ghana News Agency,Cedi’s strength is a reflection of national confidence  productivity  and partnership-Governor ,2025-10-29,By Morkporkpor Anku Accra  Oct. 29  GNA – Dr Johnson Pandit Asiama  the Governor of the Bank of Ghana  said the Cedi’s strength reflected national confidence  productivity  and partnership. He said with stability  production  and innovation as the guiding pillars  Ghana’s currency could once agai...,https://gna.org.gh/2025/10/cedis-strength-is-a-reflection-of-national-confidence-productivity-and-partnership-governor/,infrastructure,
Ghana,Ghana News Agency,Norway mosque attacker sentenced to 21 years in prison,2025-10-30,Oslo  Oct 29  (dpa/GNA) – A man who killed his stepsister and attacked a mosque in Norway six years ago  has been sentenced to 21 years in prison in a retrial. The Oslo District Court ruled on Wednesday that he is of sound mind  and  according to the NTB news agency  also concluded that a prison ...,https://gna.org.gh/2025/10/norway-mosque-attacker-sentenced-to-21-years-in-prison/,infrastructure,
Ghana,Ghana News Agency,Xi says China  U.S. economic  trade teams reached consensus,2025-10-30,Busan  South Korea  Oct. 30 (Xinhua/GNA) – Chinese President Xi Jinping said here Thursday that economic and trade teams of China and the United States held in-depth talks and reached consensus on solutions to problems. He made the remarks during a meeting with his U.S. counterpart  Donald Trump ...,https://gna.org.gh/2025/10/xi-says-china-u-s-economic-trade-teams-reached-consensus/,infrastructure,
Ghana,Ghana News Agency,Stakeholders call for gender-equitable tax regime in Ghana,2025-10-30,By Francis Ntow Accra  Oct 30  GNA – Stakeholders have called for urgent tax reforms to address gender inequalities  warning that Ghana’s heavy reliance on indirect taxes disproportionately affects low-income households and workers  particularly  women  pushing many into poverty. The stakeholders...,https://gna.org.gh/2025/10/stakeholders-call-for-gender-equitable-tax-regime-in-ghana/,port,
Ghana,Ghana News Agency,Korean Government commits $28 million to support Ghana’s STEM Phase II,2025-10-29,By Benjamin A. Commey Accra  Oct. 29  GNA – The Government of Korea has pledged to inject an additional $28 million to support the second phase of the Science  Technology  Engineering  and Mathematics (STEM) project in Ghana. This commitment follows the successful implementation of the first phas...,https://gna.org.gh/2025/10/korean-government-commits-28-million-to-support-ghanas-stem-phase-ii/,port,
Ghana,Ghana News Agency,Banker charged over church fund theft,2025-10-29,By Joyce Danso Accra  Oct. 29  GNA – A banker has been arraigned before an Accra Circuit Court for allegedly making unauthorised transactions in the bank accounts of the Coptic Orthodox Church. Kwabena Opoku-Acheampong  a relationship officer of a bank (name withheld)  is accused of dishonestly a...,https://gna.org.gh/2025/10/banker-charged-over-church-fund-theft/,infrastructure,
Ghana,Ghana News Agency,Ghana Chamber of Shippers holds pink durbar ,2025-10-30,By Laudia Sawer Tema  Oct. 30  GNA-The Ghana Chamber of Shippers has organised the ‘Maritime Goes Pink Durbar’ as part of awareness creation on breast cancer. The durbar was organised in partnership with the Women’s International Shipping and Trading Association (WISTA-Ghana) and the Women in Mar...,https://gna.org.gh/2025/10/ghana-chamber-of-shippers-holds-pink-durbar/,port,
Ghana,Ghana News Agency,William Kpormatsi supports ‘2025 Avenor Tutudoza’ Football Gala  ,2025-10-29,By Agbaxode Emmanuel  GNA Akatsi (VR)  Oct. 29  GNA – Mr. William Kpormatsi  a businessman and politician  has donated sets of football jerseys and 28 balls towards the upcoming Avenor Tutudoza Football Gala. It forms part of the activities lined up for the Festival celebrations. The Gala would f...,https://gna.org.gh/2025/10/william-kpormatsi-supports-2025-avenor-tutudoza-football-gala/,port,planned
Ghana,Ghana News Agency,NEIP launches Adwumawura programme in Oti Region ,2025-10-29,By Kingsley Mamore Dambai (O/R) Oct 29  GNA- The National Entrepreneurship and Innovation Programme (NEIP) has officially launched its Adwumawura programme in the Oti Region. The programme aims to empower local entrepreneurs  particularly the youth by providing them with the necessary skills  too...,https://gna.org.gh/2025/10/neip-launches-adwumawura-programme-in-oti-region/,energy,completed
Ghana,Ghana News Agency,Government decentralizing mining permits to curb galamsey – Lands Minister  ,2025-10-29,By Emelia B. Addae Koforidua  Oct. 29  GNA – The Ministry of Lands and Natural Resources  through the Minerals Commission  is establishing District Offices to bring mining governance services closer to the people. “Indeed  decentralizing the mining permitting processes will deter people from enga...,https://gna.org.gh/2025/10/government-decentralizing-mining-permits-to-curb-galamsey-lands-minister/,infrastructure,planned
Ghana,Ghana News Agency,NYEP empowers youth,2025-10-29,By Patience Tawiah  GNA Nkwanta (O/R)  Oct. 29  GNA- The National Apprenticeship Programme (NAP) has officially begun in the Nkwanta South Municipality of the Oti Region  aiming to tackle youth unemployment and promote skills development. Already  batik tie-and-dye fabrics produced by local train...,https://gna.org.gh/2025/10/nyep-empowers-youth/,rail,
Ghana,Ghana News Agency,SSNIT to expand  remodel key hotels to boost investment returns – DG discloses,2025-10-30,By Benjamin A. Commey Accra  Oct. 30  GNA – Mr. Kwesi Afreh Biney  the Director-General of the Social Security and National Insurance Trust (SSNIT)  has disclosed plans to expand and remodel some of the Trust’s key hotel investments as part of efforts to enhance returns and strengthen the long-te...,https://gna.org.gh/2025/10/ssnit-to-expand-remodel-key-hotels-to-boost-investment-returns-dg-discloses/,infrastructure,planned
Ghana,Ghana News Agency,Residents await arrival of Boa Amponsem IV at Abankesieso  ,2025-10-29,By Victoria Agyemang Dunkwa-on-Offin(C/R)  Oct 29  GNA- The people of  Dunkwa-on-Offin and its surroundings communities are filled with excitement and anticipation as they prepare to welcome Odeefo Boa Amponsem IV  the newly enstooled Denkyirahene. This follows his successful enstoolment at Jukwa...,https://gna.org.gh/2025/10/residents-await-arrival-of-boa-amponsem-iv-at-abankesieso/,infrastructure,
Ghana,Ghana News Agency,Denkyirahene arrives at Dunkwa amidst wholesome welcome by chiefs and people ,2025-10-30,By Victoria Agyemang  GNA Dunkwa-on-Offin (C/R)  Oct. 30  GNA – The streets of Dunkwa-on-Offin were filled with joy and excitement in the evening of Wednesday  October 29 as the newly enstooled Denkyirahene  Odeefo Boa Amponsem IV  arrived in the traditional capital to a rousing welcome from chie...,https://gna.org.gh/2025/10/denkyirahene-arrives-at-dunkwa-amidst-wholesome-welcome-by-chiefs-and-people/,infrastructure,
Ghana,Ghana News Agency,Tens of thousands evacuated as severe cyclone hits Indian coast,2025-10-29,New Delhi  Oct 29  (dpa/GNA) – Tens of thousands of people were evacuated to temporary shelters  as a severe cyclonic storm made a landfall on India’s south-eastern coast Tuesday. Torrential rains triggered flooding  house collapses and landslides  while winds exceeding 100 kilometres per hour up...,https://gna.org.gh/2025/10/tens-of-thousands-evacuated-as-severe-cyclone-hits-indian-coast/,infrastructure,
Ghana,Ghana News Agency,EC to re-open nominations for District Level Elections,2025-10-29,Accra  Oct 29  GNA – The Electoral Commission of Ghana (EC) is set to reopen nominations for Electoral Areas and Units where no Nomination was filed. A statement signed by Samuel Tettey  Deputy Chairman in charge of Operations and issued on Wednesday  said the decision was in accordance with the ...,https://gna.org.gh/2025/10/ec-to-re-open-nominations-for-district-level-elections/,infrastructure,
