country,source,title,date_iso,summary,url,category,status
Ghana,MyJoyOnline,10th Beauty and Wellness Expo to enhance economic value of beauty industry,2025-10-29,Ghana’s beauty market  valued at US$29.3 million in 2023  is expected to grow at a rate of over 12% between 2023 and 2027  reaching US$46.2 million by 2027. The personal care sector stood at US$70 million (GH₵853 million) in 2023 and is projected to reach US$109 million (GH₵1.4 billion) by 2027  ...,https://www.myjoyonline.com/10th-beauty-and-wellness-expo-to-enhance-economic-value-of-beauty-industry/,infrastructure,
Ghana,MyJoyOnline,ECG pilots tablet-based system to digitalise field operations  enhance real-time reporting,2025-10-30,The Electricity Company of Ghana (ECG) has begun piloting a digital system to improve how its field officers capture and manage maintenance data  in what the utility describes as a major step toward operational efficiency and better customer service. Acting Operations Manager  Ing. Godwin Ahorlu ...,https://www.myjoyonline.com/ecg-pilots-tablet-based-system-to-digitalise-field-operations-enhance-real-time-reporting/,port,
Ghana,MyJoyOnline,Odotobri Rural Bank PLC writes off locked-up investments of over GH¢3.5m  records 117% profit increase,2025-10-28,Odotobri Rural Bank PLC has written off locked-up funds totaling over GH¢3.5 million invested in two financial institutions affected by the banking sector clean-up. According to management  the decision to write off the investments will not negatively affect the institution due to the robust fina...,https://www.myjoyonline.com/odotobri-rural-bank-plc-writes-off-locked-up-investments-of-over-gh%c2%a23-5m-records-117-profit-increase/,infrastructure,planned
Ghana,MyJoyOnline,Fuel prices set to be reduced by a significant margin from Nov. 1,2025-10-29,The price of petroleum products is expected to drop significantly at the pumps from November 1  2025. This projection is contained in the latest outlook report by the Chamber of Oil Marketing Companies (COoMAC)  which guides the pricing decisions of oil marketing companies in Ghana  as seen by Jo...,https://www.myjoyonline.com/fuel-prices-set-to-be-reduced-by-a-significant-margin-from-nov-1/,port,planned
Ghana,MyJoyOnline,Guinness Ghana posts strong financial in 2025; declares GH₵0.098 dividend per share at AGM,2025-10-30,Guinness Ghana Breweries PLC has posted outstanding financials for its year ended June 30  2025. The company said despite the economic volatility and downturn experienced in the year under review  it recorded profit after tax of GH₵334 million  underscoring Guinness Ghana’s resilience as it deliv...,https://www.myjoyonline.com/guinness-ghana-posts-strong-financial-in-2025-declares-gh%e2%82%b50-098-dividend-per-share-at-agm/,infrastructure,
Ghana,MyJoyOnline,Deloitte  other professional institutions are key partners in promoting compliance  others – Ag Registrar of ORC,2025-10-29,The Office of the Registrar of Companies (ORC) has indicated that Deloitte and other professional institutions are key partners in promoting compliance  best practices and encouraging responsible corporate behaviour. Speaking at the recent Deloitte ORC Webinar on the theme “Ensuring Compliance Ac...,https://www.myjoyonline.com/10032887289-2/,infrastructure,
Ghana,MyJoyOnline,FirstBank launches 2025 corporate responsibility and sustainability week,2025-10-30,FirstBank Ghana has officially launched the ninth edition of its Corporate Responsibility and Sustainability (CR&S) Week  a flagship initiative that reaffirms the bank’s commitment to social impact  ethical business practices  and sustainable community development. The launch ceremony  held at Fi...,https://www.myjoyonline.com/firstbank-launches-2025-corporate-responsibility-and-sustainability-week/,infrastructure,completed
Ghana,MyJoyOnline,ECG blows GH¢189m beyond budget without approval – PAC fumes at financial indiscipline,2025-10-29,The Electricity Company of Ghana (ECG) has come under intense scrutiny after revelations of massive budget overruns at Parliament’s Public Accounts Committee (PAC). The utility company’s Chief Executive and his team were grilled over unapproved spending amounting to GH¢189.2 million. Citing detai...,https://www.myjoyonline.com/ecg-blows-gh%c2%a2189m-beyond-budget-without-approval-pac-fumes-at-financial-indiscipline/,energy,
Ghana,MyJoyOnline,Oti regional investment roadshow to catalyse local investments and unlock regional potential,2025-10-29,The Ghana Investment Promotion Centre (GIPC) will hold the Oti Regional Investment Road show from 29 to 30 October 2025 at the Bosatsu Hotel in Dambai  to showcase the region’s investment opportunities and unlock its vast economic potential. The two-day event  themed “Driving Local Investment – U...,https://www.myjoyonline.com/oti-regional-investment-roadshow-to-catalyse-local-investments-and-unlock-regional-potential/,port,planned
Ghana,MyJoyOnline,DMT Collateral appointed as Collateral Manager for Dangote Refinery,2025-10-29,DMT Collateral Management Company Limited has been appointed as Collateral Manager for the Dangote Refinery in Lagos  Nigeria. The appointment  made by four major international lending powerhouses: Afreximbank  Africa Finance Corporation (AFC)  Standard Bank South Africa  and Access Bank Plc  Nig...,https://www.myjoyonline.com/dmt-collateral-appointed-as-collateral-manager-for-dangote-refinery/,infrastructure,
Ghana,MyJoyOnline,Standard Chartered Zambia signs agreement to sell Wealth & Retail Banking Business to First National Bank Zambia,2025-10-30,Standard Chartered and First National Bank (FNB) Zambia have entered into an agreement for the sale of Standard Chartered Zambia’s Wealth and Retail Banking (WRB) business portfolio in Zambia. This follows Standard Chartered’s 27 November 2024 announcement of its intention to explore a potential ...,https://www.myjoyonline.com/standard-chartered-zambia-signs-agreement-to-sell-wealth-retail-banking-business-to-first-national-bank-zambia/,port,
Ghana,MyJoyOnline,FirstBank Ghana donates GH¢200 000 to support community development initiatives,2025-10-30,FirstBank Ghana has committed GH¢200 000 to support education  healthcare  and community development projects as part of its 9th annual Corporate Responsibility and Sustainability (CR&S) Week celebration. The funds were distributed to five key organisations: Making Learning Happen  Lifeline for C...,https://www.myjoyonline.com/firstbank-ghana-donates-gh%c2%a2200000-to-support-community-development-initiatives/,port,
Ghana,MyJoyOnline,Tullow Ghana shares strategic sector plans with Parliamentary Select Committee on Energy,2025-10-29,Parliamentary Select Committee on Energy  led by its Chairman and Ho West MP  Emmanuel Bedzrah  has completed a working visit to Tullow Ghana’s Jubilee and TEN oil fields in the Western Region. The visit offered the lawmakers a closer look at the company’s offshore operations and its efforts to s...,https://www.myjoyonline.com/tullow-ghana-shares-strategic-sector-plans-with-parliamentary-select-committee-on-energy/,infrastructure,completed
Ghana,MyJoyOnline,Agribusiness Chamber calls for cheaper financing to boost Ghana’s agriculture sector,2025-10-29,The Chief Executive Officer of the Chamber of Agribusiness Ghana  Anthony Morrison  is calling for cheaper and more accessible financing to boost investment and growth in Ghana’s agricultural sector. According to him  the current cost of borrowing is too high for most farmers and agribusinesses  ...,https://www.myjoyonline.com/agribusiness-chamber-calls-for-cheaper-financing-to-boost-ghanas-agriculture-sector/,infrastructure,
Ghana,MyJoyOnline,Volta MDCEs endorse Volta Trade and Investment Fair 25,2025-10-29,The Caucus of the Municipal and District Chief Executives in the Volta Region has endorsed the upcoming 7th Volta Trade and Investment Fair in Ho  scheduled between 27 November and 7 December 2025  in Ho. The Association of Ghana Industries and the Volta Regional Coordinating Council are rigorous...,https://www.myjoyonline.com/volta-mdces-endorse-volta-trade-and-investment-fair-25/,infrastructure,planned
Ghana,MyJoyOnline,Responsible banking is our future – FirstBank champions ESG and sustainable growth,2025-10-30,FirstBank Ghana has reaffirmed its commitment to environmental  social  and governance (ESG) principles as a cornerstone of its long-term business strategy  describing responsible banking as essential to building trust and sustainable growth. Speaking at the launch of the 9th edition of the Corpo...,https://www.myjoyonline.com/responsible-banking-is-our-future-firstbank-champions-esg-and-sustainable-growth/,infrastructure,
Ghana,MyJoyOnline,MTN staff in Western region urged to stay cyber vigilant during cybersecurity awareness month,2025-10-29,The Senior Manager for MTN South West  Prince Owusu Nyarko  has urged employees to be proactive and vigilant in safeguarding their digital presence and company systems. He made the call during a cybersecurity awareness and capacity-building session for staff in Takoradi  held as part of activitie...,https://www.myjoyonline.com/mtn-staff-in-western-region-urged-to-stay-cyber-vigilant-during-cybersecurity-awareness-month/,infrastructure,planned
Ghana,MyJoyOnline,Fuel prices drop  but reduction may be short-lived – Kwadwo Poku,2025-10-30,Executive Director of the Institute for Energy Policies and Research (INSTEPR)  Kwadwo Poku  has accused the Bank of Ghana (BoG) of artificially maintaining the cedi’s exchange rate to create the impression of currency stability and temporarily lower fuel prices. Speaking on JoyNews’ AM Show   Mr...,https://www.myjoyonline.com/fuel-prices-drop-but-reduction-may-be-short-lived-kwadwo-poku/,infrastructure,
Ghana,MyJoyOnline,Australia spotlights Ghana’s first lithium mine as game‑changer at AEMF launch,2025-10-30,When Australia first entered Ghana’s mining landscape over half a century ago  few could have imagined how deeply the partnership would influence both countries’ economic trajectories. What began as a commercial interest has since matured into a strategic relationship  one that blends trade  educ...,https://www.myjoyonline.com/australia-spotlights-ghanas-first-lithium-mine-as-game%e2%80%91changer-at-aemf-launch/,infrastructure,
Ghana,MyJoyOnline,Bringing light to Mafikope: Africa Just Transition Network powers off-grid community centre with solar energy,2025-10-29,The Africa Just Transition Network (AJTN)  through its Renewable Energy Working Group  provided  commissioned  and inaugurated a 6kWp + 10kWh Off-Grid rooftop solar photovoltaic (PV) system for Mafikope Community in Ghana on 19th October 2025. This rooftop solar system was installed on a communit...,https://www.myjoyonline.com/bringing-light-to-mafikope-africa-just-transition-network-powers-off-grid-community-centre-with-solar-energy/,energy,completed
Ghana,MyJoyOnline,2026 Budget to stay within 1.5% primary surplus of GDP,2025-10-29,The upcoming 2026 Budget will stay within the 1.5% primary surplus of Gross Domestic Product stipulated in the Fiscal Responsibility Act. According to IC Research  a leading financial markets research firm  the government have exhibited sufficient policy credibility to stay within the fiscal limi...,https://www.myjoyonline.com/2026-budget-to-stay-within-1-5-primary-surplus-of-gdp/,infrastructure,planned
Ghana,MyJoyOnline,IMF Board approval for 5th review of Ghana’s programme to be secured in December 2025,2025-10-29,The board approval by the International Monetary Fund for the fifth review of Ghana’s bailout programme will likely be secured in December 2025  IC Research has predicted. This is coming after the Government of Ghana and the IMF mission reached a staff-level agreement on the fifth review in Octob...,https://www.myjoyonline.com/imf-board-approval-for-5th-review-of-ghanas-programme-to-be-secured-in-december-2025/,infrastructure,planned
Ghana,MyJoyOnline,Setutsi Goka Ivowi appointed to Board of Unilever Ghana Plc,2025-10-29,Unilever Ghana Plc has announced the appointment of Setutsi Goka Ivowi (Tucci Ivowi) as a Non-Executive Director  effective October 1  2025. The appointment forms part of the company’s ongoing commitment to strengthening corporate governance and enhancing strategic oversight through the inclusion...,https://www.myjoyonline.com/setutsi-goka-ivowi-appointed-to-board-of-unilever-ghana-plc/,infrastructure,ongoing
Ghana,MyJoyOnline,Tino Solutions reiterates commitment to Ghana’s renewable energy drive,2025-10-29,Solar energy dealership firm  Tino Solutions has reiterated its commitment to Ghana’s renewable energy and sustainability drive. According to the company  it has contributed more than 100 megawatts of off grid solar energy into the energy mix since it commenced operations two decades ago. The Chi...,https://www.myjoyonline.com/tino-solutions-reiterates-commitment-to-ghanas-renewable-energy-drive/,energy,
