country,source,title,date_iso,summary,url,category,status
Kenya,Business Now,How digital platforms are being weaponised to abuse women in Kenya,2025-10-30,"Online sexual exploitation and abuse (OSEA) is escalating rapidly across Kenya, with predators exploiting digital technologies to recruit, groom, abuse, and traumatise women and girls. Two new reports uncover how…",https://businessnow.co.ke/how-digital-platforms-are-being-weaponised-to-abuse-women-in-kenya/,port,
Kenya,Business Now,How Family Bank top up loan offers cash urgently for an emergency or investment,2025-10-30,Family Bank has introduced a Top-Up Loan facility offering existing borrowers’ additional cash without the need to start a new loan application process. The Family Bank Top-Up Loan product is…,https://businessnow.co.ke/how-family-bank-top-up-loan-offers-cash-urgently-for-an-emergency-or-investment/,economic,
Kenya,Business Now,Why Kenya ranks highest globally in public concern for deforestation,2025-10-29,"Forest Stewardship Council (FSC) has reported a sharp decline of public concern for climate change in Kenya and South Africa, even after the hottest year on record. The 2025 Global…",https://businessnow.co.ke/why-kenya-ranks-highest-globally-in-public-concern-for-deforestation/,port,
Kenya,Business Now,"Conservation as community, climate action and global responsibility",2025-10-29,"By Humphrey Kariuki In the Congo Basin, forests are cleared each day as rivers that sustain millions of livelihoods decline. Across the Sahel, advancing deserts consume fertile land and drive…",https://businessnow.co.ke/conservation-as-community-climate-action-and-global-responsibility/,technology,
Kenya,Business Now,"A motorcycle rider’s journey, triumphs and call for recognition",2025-10-29,"In the sprawling metropolis of Nairobi, an army of riders on two wheels form the lifeblood of the city’s commerce and connectivity. John Bosco Okenera, a 32-year-old from Busia now making…",https://businessnow.co.ke/a-motorcycle-riders-journey-triumphs-and-call-for-recognition/,rail,
Kenya,Business Now,How Stanbic Bank’s Chai Loan is giving Kenyan tea farmers a new green leaf of life,2025-10-29,Stanbic Bank Kenya’s Chai Loan for tea farmers is a significant stride in enabling financially constrained growers to access immediate and meaningful liquidity. With up to 80% financing on the…,https://businessnow.co.ke/how-stanbic-banks-chai-loan-is-giving-kenyan-tea-farmers-a-new-green-leaf-of-life/,rail,
Kenya,Business Now,Chesosi tips leaders on how to empower the youth to drive development,2025-10-29,There is need to empower the youth to lead transformation and shape the future of the Blue and Creative Economies. Truly Kenya Limited Chairperson Alex Chesosi says the Truly Kenya…,https://businessnow.co.ke/chesosi-tips-leaders-on-how-to-empower-the-youth-to-drive-development/,energy,
Kenya,Business Now,Airtel Africa revenue rises to $2.98 billion during first half of 2025,2025-10-28,Airtel Africa PLC Group revenue in reported currency increased by 25.8% to $2.98 billion with constant currency growth of 24.5% for the half year ended 30 September 2025. Reported currency…,https://businessnow.co.ke/airtel-africa-revenue-rises-to-2-98-billion-during-first-half-of-2025/,port,
Kenya,Business Now,Why use of AI in claims management has been slow in taking off,2025-10-28,"By Patrick Omoro Artificial intelligence (AI) is transforming the insurance industry by accelerating claims processing, reducing costs, improving accuracy, and enhancing customer experiences through automation, fraud detection, and data analysis. …",https://businessnow.co.ke/why-use-of-ai-in-claims-management-has-been-slow-in-taking-off/,technology,
Kenya,Business Now,How Family Bank is supporting entrepreneurs build their business dreams,2025-10-28,"For over 15 years, Daniel Mwangi, a high school teacher based in Nakuru, had been devoted to shaping young minds. But outside the classroom, he nurtured the dream of owning…",https://businessnow.co.ke/how-family-bank-is-supporting-entrepreneurs-build-their-business-dreams/,port,
Kenya,Business Now,Kenya hits fourth peak power demand in 2025,2025-10-28,"By Nicholas Waitathu Kenya has recorded a new peak power demand of 2,411.98MW and the highest-ever daily energy consumption of 44,122.60MWh recorded on October 24, 2025. This is the fourth…",https://businessnow.co.ke/kenya-hits-fourth-peak-power-demand-in-2025/,energy,
Kenya,Business Now,Why I&M Bank has signed UN Principles for responsible banking,2025-10-28,"I&M Bank has officially become a signatory to the UN Principles for Responsible Banking (PRB), joining a worldwide network community of banks committed to aligning their business strategies with society’s…",https://businessnow.co.ke/why-im-bank-has-signed-un-principles-for-responsible-banking/,economic,
Kenya,Business Now,12 feared dead as tourist aircraft crashes at the Kenyan coast,2025-10-28,Twelve people comprising tourists and aircraft crew members are feared dead after a light aircraft crashed at the Kenyan coast on Tuesday morning. The Kenya Civil Aviation Authority has confirmed…,https://businessnow.co.ke/12-feared-dead-as-tourist-aircraft-crashes-at-the-kenyan-coast/,airport,
