country,source,title,date_iso,summary,url,category,status
Nigeria,Leadership,"Lagos Building Collapse Claims 1 Life, Injures 8 — LASEMA",2025-10-30,"The Lagos State Emergency Management Agency (LASEMA) has confirmed the death of one male adult following the collapse of a three-storey building in the Apapa area of Lagos on Thursday. The agency said eight other persons were rescued alive from the rubble of the building located at No. 28, Baale Alayabiagba Street, Alayabiagba community, Ajegunle, […]",https://leadership.ng/lagos-building-collapse-claims-1-life-injures-8-lasema/,technology,
Nigeria,Leadership,"Court Orders Remand Of Lawyer, 4 Others For Alleged Cyber Bullying Of Bauchi South Senator",2025-10-30,"Justice Rita Offili Ajumogobia has ordered the remand of a lawyer, Ahmed Abdulrahman, and four others at the Force Criminal Investigation Department (FCID), Area 10, Abuja, till November 10, following their arraignment on alleged cyber bullying of a serving lawmaker, Senator Shehu Buba Umar, representing Bauchi South senatorial district in the Senate. The lawyer was […]",https://leadership.ng/court-orders-remand-of-lawyer-4-others-for-alleged-cyber-bullying-of-bauchi-south-senator/,technology,
Nigeria,Leadership,"Timi Frank Condemns ‘Sham Elections’ In Tanzania, Cameroon, Ivory Coast",2025-10-30,"Political activist and former Deputy National Publicity Secretary of the All Progressives Congress (APC), Comrade Timi Frank, has condemned recent elections held in Tanzania, Cameroon, and Ivory Coast, describing them as “sham exercises” and “a disgrace to the African continent.” Frank said what took place in the three countries were not elections but “selections” allegedly […]",https://leadership.ng/timi-frank-condemns-sham-elections-in-tanzania-cameroon-ivory-coast/,technology,
Nigeria,Leadership,Arrest Rumours: NDDC Boss Ogbuku Makes Public Appearance At Agricultural Stakeholders Event In Rivers,2025-10-30,"Contrary to the widespread reports of his arrest over an alleged coup plot, the Managing Director of the Niger Delta Development Commission (NDDC), Dr. Samuel Ogbuku, on Thursday, addressed agricultural stakeholders at an ongoing two-day strategic meeting in preparation for an upcoming agricultural summit in Port Harcourt, Rivers State. Speaking at the meeting, which began […]",https://leadership.ng/arrest-rumours-nddc-boss-ogbuku-makes-public-appearance-at-agricultural-stakeholders-event-in-rivers/,port,
Nigeria,Leadership,"We’ll Leave No Stone Unturned To Improve Nigeria’s Security, Says New Air Chief",2025-10-30,"The newly appointed Chief of the Air Staff (CAS), Air Vice Marshal Sunday Aneke, on Thursday, formally assumed office with a pledge to leave no stone unturned to bring about swift improvement in the nation’s security landscape. Aneke, the 23rd Chief of the Air Staff, took over from his predecessor, Air Marshal Hasan Abubakar, during […]",https://leadership.ng/well-leave-no-stone-unturned-to-improve-nigerias-security-says-new-air-chief/,technology,
Nigeria,Leadership,"Senate Seeks Establishment Of Autism Centres In Abuja, 6 Geopolitical Zones",2025-10-30,"The Senate, on Thursday, took a major step toward improving support for Nigerians living with Autism Spectrum Disorders (ASD) as it began consideration of a Bill seeking to establish a National Center for Autism in six zonal centres across the country for research, diagnosis and care. ASD is a complex neurodevelopmental condition that affects communication, […]",https://leadership.ng/senate-seeks-establishment-of-autism-centres-in-abuja-6-geopolitical-zones/,port,
Nigeria,Leadership,"Defection: Tinubu Already Handed Me Over To APC National Chair, Says Governor Kefas",2025-10-30,"President Bola Tinubu has formally handed over Governor Agbu Kefas of Taraba State to the National Chairman of the All Progressives Congress (APC), Nentawe Yilwatda, for proper initiation into the party. Governor Kefas, who revealed this on Thursday, in a meeting with APC youths and some stakeholders of the party at the T.Y. Danjuma House […]",https://leadership.ng/defection-tinubu-already-handed-me-over-to-apc-national-chair-says-governor-kefas/,technology,
Nigeria,Leadership,"US, China Reach Landmark Agreement Linking Tariffs To Drug Control",2025-10-30,"United States President Donald Trump has announced a landmark agreement with Chinese leader Xi Jinping, offering a 10 percent reduction in tariffs on Chinese goods in exchange for China’s commitment to curb the production and export of fentanyl — a potent synthetic opioid that has fueled America’s addiction crisis. Under the new arrangement, the minimum […]",https://leadership.ng/us-china-reach-landmark-agreement-linking-tariffs-to-drug-control/,port,
Nigeria,Leadership,"World Bank, BoI Roll Out New Financing Framework",2025-10-30,"In a strong affirmation of Nigeria’s reform trajectory and renewed investor confidence, the World Bank and the Bank of Industry (BoI) have outlined a bold new framework for development finance aimed at accelerating job creation, unlocking private capital, and deepening financial inclusion across the country. Speaking at the second edition of the Bank of Industry […]",https://leadership.ng/world-bank-boi-roll-out-new-financing-framework/,economic,
Nigeria,Leadership,"APC Chair Yilwatda, Enugu Governor Mbah Present As 6 Lawmakers Defect To APC In House Of Reps",2025-10-30,"In a major political realignment on Thursday, six members of the House of Representatives formally defected to the ruling All Progressives Congress (APC) during plenary, in the presence of Enugu State governor, Peter Mbah, and APC National Chairman, Nentawe Yilwatda. Five of the lawmakers, all from Enugu State, dumped the Peoples Democratic Party (PDP), while […]",https://leadership.ng/apc-chair-yilwatda-enugu-governor-mbah-present-as-6-lawmakers-defect-to-apc-in-house-of-reps/,technology,
