country,source,title,date_iso,summary,url,category,status
South Africa,Infrastructure News,From Waste To Resource Management: Inside The Tonkmeter Resource Facility,2025-10-30,As South Africa embraces circular economy principles and pushes for higher recycling rates  landfills remain a cornerstone of national waste management. Yet  their role is evolving. Modern facilities are no longer just about disposal  they are about minimising impact  recovering value  and managing waste as a resource. This is the vision behind the T onkmeter Resource Facility   a new-generation landfill in Gauteng. Since opening in March 2025  Tonkmeter has positioned itself not only as a si...,https://infrastructurenews.co.za/2025/10/30/from-waste-to-resource-management-inside-the-tonkmeter-resource-facility/,,
South Africa,Infrastructure News,Extending The Life Of Landfills: Engineering  Compliance  And Smart Operations,2025-10-30,Reon Pienaar  a professional civil engineer at the specialist waste management consulting company JPCE (Pty) Ltd South Africa faces a growing waste management challenge. With urban populations expanding  consumption patterns shifting  and recycling rates still relatively low  the pressure on landfill sites to perform is high. While public discourse often rightly focuses on recycling  diversion and alternative waste treatment technologies  the reality is that landfills will remain a necessary ...,https://infrastructurenews.co.za/2025/10/30/extending-the-life-of-landfills-engineering-compliance-and-smart-operations/,,
South Africa,Infrastructure News,The Role Of Insects In Waste Management,2025-10-30,In East London  a company is changing how South Africa thinks about food waste. Nambu   founded in 2018  initially focused on farming insects as a protein source for livestock. Today  the business is positioning insects as an essential service in organic waste management. “We originally focused on insects as a protein source for livestock feed ” says Lowell Scarr  Managing Director of Nambu. “That required high levels of biosecurity  which limited the waste streams we could use. Abattoir wast...,https://infrastructurenews.co.za/2025/10/30/the-role-of-insects-in-waste-management/,,
South Africa,Infrastructure News,Re-Industrialising Communities Through Mushrooms,2025-10-30,Daniel Motshwane  founder of Afrique Rising Trading South African rural and informal communities are poised to aid the circular economy. Daniel Motshwane  founder of Afrique Rising Trading (ART)  a Pan-African social enterprise  aims to give communities the tools to bring income and ‘re-industrialise’ these areas that need it most. “When I talk about re-industrialising  I mean going back to a time when communities were vibrant with processing and employment opportunities ” he explains. “Our o...,https://infrastructurenews.co.za/2025/10/30/re-industrialising-communities-through-mushrooms/,,
South Africa,Infrastructure News,Water Mafias  How They Work And How To Stop Them,2025-10-30,Dr Henk Boshoff  SAHRC commissioner South Africa’s water networks face escalating sabotage by criminal syndicates known as ‘water mafias’. By destroying infrastructure and exploiting tanker contracts  they profit from people’s desperation while deepening inequality. What began as vandalism has become a crisis of governance  corruption and violence  threatening the nation’s water security and human rights. For the South African Human Rights Commission (SAHRC)   an institution that safeguards t...,https://infrastructurenews.co.za/2025/10/30/water-mafias-how-they-work-and-how-to-stop-them/,,
South Africa,Infrastructure News,Upcoming Webinar | Countdown to AWSISA Dialogue 2025,2025-10-29,Join AWSISA for an insightful session as we unpack the Critical Dialogue on Africa’s Water–Climate–Urban Nexus  exploring the challenges and opportunities shaping sustainable water solutions across the continent. This conversation will set the stage for the AWSISA Africa & Global South Water & Sanitation Dialogue 2025  highlighting collaboration  innovation  and climate-resilient urban water management. Event Details Speaker: Dr. Nndweleni Mphephu – Chairperson  Lepelle Northern Water Board H...,https://infrastructurenews.co.za/2025/10/29/upcoming-webinar-countdown-to-awsisa-dialogue-2025/,,
South Africa,Infrastructure News,Johannesburg to Host Landmark Water & Sanitation Dialogue for Africa and the Global South,2025-10-29,From 9 to 12 November 2025  more than 1 500 water and sanitation leaders  innovators  policymakers and practitioners from across Africa  the Global South  and beyond will gather at Emperors Palace  Johannesburg for the highly anticipated AWSISA Africa & Global South Water and Sanitation Dialogue . The Dialogue  convened under the theme “Towards Sustainable Water and Sanitation Security in Africa ” stands as one of the continent’s most influential platforms for transforming the future of water...,https://infrastructurenews.co.za/2025/10/29/johannesburg-to-host-landmark-water-sanitation-dialogue-for-africa-and-the-global-south/,,
South Africa,Infrastructure News,Over R84 Million Owed To The City By Illegally Connected Customers,2025-10-29,The City of Johannesburg   together with Johannesburg Water and City Power  is running a Level 3 Disconnection Drive targeting chronic non-paying  high-consumption customers with long-standing  unpaid  and undisputed municipal debt. The drive is part of #ProjectLokisa  an initiative led by Environmental and Infrastructure Service Department MMC Councillor Jack Sekwaila and Finance MMC Councillor Loyiso Masuku. The customers collectively owe in excess of R84 million to the City of Johannesburg...,https://infrastructurenews.co.za/2025/10/29/over-r84-million-owed-to-the-city-by-illegally-connected-customers/,,
South Africa,Infrastructure News,President Hails Exit From Greylist,2025-10-29,South Africa’s delisting from the Financial Action Task Force (FATF) greylist bodes well for the integrity and reputation of the country’s financial system  status as an investment destination and for the economy as a whole  says President Cyril Ramaphosa. South Africa has officially exited the greylist after successfully implementing key reforms to combat money laundering and the financing of terrorism. “This milestone is a boost for South Africa’s international reputation and global standin...,https://infrastructurenews.co.za/2025/10/29/president-hails-exit-from-greylist/,,
South Africa,Infrastructure News,Development Finance And Bankability In Water,2025-10-29,Thabo Kabini  senior water specialist at the IDC. As South Africa’s largest development finance institution  the Industrial Development Corporation (IDC) showcases how funding can unlock opportunities while also revealing persistent hurdles in water and sanitation investment. “Established in 1940  the IDC has operated sustainably for 85 years The only cash injection we have ever received from the government was at inception ” states Thabo Kabini  senior water specialist at the IDC. The instit...,https://infrastructurenews.co.za/2025/10/29/development-finance-and-bankability-in-water/,,
