country,source,title,date_iso,summary,url,category,status
South Africa,Infrastructure News,Sanlam-backed CFM Closes Largest EM Climate Adaptation Infrastructure Fund,2025-10-21,Climate Fund Managers (CFM)   a climate-focused blended finance investment manager  announced today the final close of its second blended finance facility  Climate Investor Two (CI2)  at USD 1.065 billion. With new commitments of USD 190 million plus a EUR 205 million EFSD+ guarantee from the European Union  CI2 surpasses its initial USD 1 billion target  becoming the largest climate adaptation infrastructure fund focused on emerging markets globally. The fund blends public and private capita...,https://infrastructurenews.co.za/2025/10/21/sanlam-backed-cfm-closes-largest-em-climate-adaptation-infrastructure-fund/,,
South Africa,Infrastructure News,Legal Borehole Drilling Is A Key Enabler To Mitigating South Africa’s Water Crisis,2025-10-22,Albertus Lombaard  Borehole Water Association of Southern Africa Drilling Division Technical Advisor In the face of extreme weather events  including drought and floods  safeguarding water resources has never been more critical. Added to adverse climate conditions is the challenge of delivering water to homes and businesses through ageing and poorly maintained water infrastructure. According to industry watchdog the Borehole Water Association (BWA)   these factors together make the drilling o...,https://infrastructurenews.co.za/2025/10/22/legal-borehole-drilling-is-a-key-enabler-to-mitigating-south-africas-water-crisis/,,
South Africa,Infrastructure News,WISA Climate Change Division Present a Webinar on International Day of Climate Action,2025-10-20,To mark the International Day of Climate Action  the WISA Climate Change Division invites professionals  researchers  and stakeholders from across the water sector to join a free online webinar exploring how South Africa is responding to the urgent challenges posed by climate change. This two-hour virtual session will showcase a wide range of responses – from government policy frameworks and scientific research to community-level adaptation and industry innovation. Attendees will gain practic...,https://infrastructurenews.co.za/2025/10/20/wisa-climate-change-division-present-a-webinar-on-international-day-of-climate-action/,,
South Africa,Infrastructure News,SA To Introduce Framework To Govern Carbon Markets,2025-10-23,Government is set to introduce a new framework to guide and expand high-integrity carbon markets in South Africa. Addressing the Carbon Markets Africa Summit 2025   the Minister of Forestry  Fisheries and the Environment   Dr Dion George  said when carbon markets are governed with integrity  they can mobilise finance  transfer technology  and drive inclusive growth. “The framework lays the foundation for developing  governing  and scaling high-integrity carbon markets in South Africa. It is d...,https://infrastructurenews.co.za/2025/10/23/sa-to-introduce-framework-to-govern-carbon-markets/,,
South Africa,Infrastructure News,SA’s Nuclear Industrialisation Plan Aims To Drive Economic And Energy Capacity,2025-10-21,South Africa is preparing to develop a comprehensive nuclear industrialisation plan that goes far beyond simply converting nuclear energy into electricity  according to Minister of Electricity and Energy   Dr Kgosientsho Ramokgopa. “It’s not just about converting nuclear energy into electricity. It’s about what benefits the South African economy and what components within the nuclear fuel cycle we can domesticate or localise ” Ramokgopa said. The Minister was speaking during a media briefing ...,https://infrastructurenews.co.za/2025/10/21/sas-nuclear-industrialisation-plan-aims-to-drive-economic-and-energy-capacity/,,
South Africa,Infrastructure News,Sassda Spearheads Stainless Steel Master Plan As Sector Roadmap To 2030,2025-10-24,The Southern Africa Stainless Steel Development Association (Sassda) has announced the launch of a new Stainless Steel Master Plan (SSMP)  a national collaborative initiative that will chart the course for the local stainless steel sector’s growth  competitiveness  and sustainability to 2030. The SSMP is being developed as a dedicated framework for the stainless steel value chain  following the Department of Trade  Industry and Competition’s (the dtic) 2020 Steel Master Plan  which formed par...,https://infrastructurenews.co.za/2025/10/24/sassda-spearheads-stainless-steel-master-plan-as-sector-roadmap-to-2030/,,
South Africa,Infrastructure News,Empowering Communities Through Clean Energy – EWSETA Advances South Africa’s G20 Clean Cooking Legacy,2025-10-21,South Africa has achieved a significant milestone in its clean energy transition through the G20 Clean Cooking Legacy Programme  a global initiative that united all G20 member states behind the goal of universal access to sustainable energy. Working under the leadership of the Department of Electricity and Energy (DEE)   the Energy and Water Sector Education and Training Authority (EWSETA) and Eskom Holdings SOC Limited (Eskom) were among the key national institutions that helped conceptualis...,https://infrastructurenews.co.za/2025/10/21/empowering-communities-through-clean-energy-ewseta-advances-south-africas-g20-clean-cooking-legacy/,,
South Africa,Infrastructure News,The role of Civil Society in Johannesburg’s future,2025-10-21,Johannesburg is grappling with multiple crises  from failing infrastructure  crumbling services and eroding trust in governance. While the problems are immense  the residents of Johannesburg are not without hope or action. Yunus Chamda  coordinator of the Johannesburg Crisis Alliance A direct response to the growing concerns of Johannesburg residents  the Joburg Crisis Alliance (JCA) was born.JCA is “an emerging alliance that is gradually building a civic movement that aims to arrest the decl...,https://infrastructurenews.co.za/2025/10/21/the-role-of-civil-society-in-johannesburgs-future/,,
South Africa,Infrastructure News,Ramokgopa Unveils Massive R2.2 Trillion Electricity Plan To Revive Economy,2025-10-21,The Minister of Electricity and Energy   Dr Kgosientsho Ramokgopa  has announced an ambitious Integrated Resource Plan (IRP) 2025 aimed at resolving the country’s long-standing electricity crisis and jump-starting economic growth. Government plans to invest R2.2 trillion  which is about 30% of the nation’s gross domestic product (GDP)  in a comprehensive energy transformation strategy. This comes after last week’s announcement by Minister in the Presidency  Khumbudzo Ntshavheni  of Cabinet ap...,https://infrastructurenews.co.za/2025/10/21/ramokgopa-unveils-massive-r2-2-trillion-electricity-plan-to-revive-economy/,,
South Africa,Infrastructure News,Parliamentary Committee Commends Progress at TCTA Water Projects,2025-10-24,The Portfolio Committee on Water and Sanitation has in recent weeks conducted oversight visits to several key water and sanitation infrastructure projects across the country. On 9 October 2025  the committee toured the Central Basin Acid Mine Drainage (AMD) treatment plant in Germiston  operated by Trans-Caledon Tunnel Authority (TCTA). Leading the visit were TCTA Chief Executive  Percy Sechemane  and Board Chairperson  Precious Sibiya  who reaffirmed the organisation’s commitment to sustaina...,https://infrastructurenews.co.za/2025/10/24/parliamentary-committee-commends-progress-at-tcta-water-projects/,,
