country,source,title,date_iso,summary,url,category,status
Tanzania,The Citizen,Envoy calls for renewed push in Tanzania–Sudan relations,2025-10-27,The envoy highlighted that the Sudanese Embassy in Dar es Salaam was among the first to be opened in March 1962 three months after independence,https://www.thecitizen.co.tz/tanzania/news/national/envoy-calls-for-renewed-push-in-tanzania-sudan-relations-5246614,,
Tanzania,The Citizen,Remi: Embracing Tanzanian way of life after long stint in Germany,2025-10-27,She has fully immersed herself in art and culture  having worked as an arts  culture and education consultant for various institutions,https://www.thecitizen.co.tz/tanzania/diaspora/remi-embracing-tanzanian-way-of-life-after-long-stint-in-germany-5246508,,
Tanzania,The Citizen,Tanzania makes history as four clubs reach CAF Group Stages,2025-10-27,Tanzania has written a new chapter in African football history after four of its clubs qualified for the group stages of the continental club competitions for the 2025 season,https://www.thecitizen.co.tz/tanzania/sports/tanzania-makes-history-as-four-clubs-reach-caf-group-stages-5246464,,
Tanzania,The Citizen,US could hit Russia with more sanctions to end Ukraine war,2025-10-26,U.S. President Donald Trump's administration has prepared additional sanctions it could use to target key areas of Russia's economy if President Vladimir Putin continues to delay ending Moscow's...,https://www.thecitizen.co.tz/tanzania/news/international/us-could-hit-russia-with-more-sanctions-to-end-ukraine-war-but-first-wants-europe-to-increase-pressure-5245058,,
Tanzania,The Citizen,Ngorongoro Conservation Area Authority sets ambitious Sh 350 billion revenue target for 2025/2026 fiscal year,2025-10-25,Turning to technology  General Mabeyo urged stronger oversight of the ICT Department  noting its critical role in enhancing digital systems for tourism operations  improving communication  and...,https://www.thecitizen.co.tz/tanzania/business/ngorongoro-conservation-area-authority-sets-ambitious-sh-350-billion-revenue-target-for-2025-2026-fiscal-year-5244318,,
Tanzania,The Citizen,Ivory Coast votes with Ouattara's legacy  age in focus,2025-10-25,A former international banker and deputy managing director of the International Monetary Fund  Ouattara took power in 2011 after a four-month civil war that killed around 3 000 people.,https://www.thecitizen.co.tz/tanzania/news/africa/ivory-coast-votes-with-ouattara-s-legacy-age-in-focus-5244160,,
Tanzania,The Citizen,SportPesa and the future of Tanzanian football: Beyond the numbers,2025-10-24,This is a turning point. Tanzanian football is no longer operating in the margins; it is becoming an industry with tangible economic weight,https://www.thecitizen.co.tz/tanzania/oped/sportpesa-and-the-future-of-tanzanian-football-beyond-the-numbers-5248476,,
Tanzania,The Citizen,Samia Declares: “We’ll defend the union and drive Tanzania’s shared prosperity”,2025-10-24,The CCM flagbearer further reaffirmed her commitment to inclusive growth  promising that national prosperity would reach every corner of the country.,https://www.thecitizen.co.tz/tanzania/zanzibar/samia-declares-we-ll-defend-the-union-and-drive-tanzania-s-shared-prosperity--5243734,,
Tanzania,The Citizen,Impact Of The 2025 Women's Rugby World Cup On East African Sports,2025-10-24,Discover the influence of the 2025 Women's Rugby World Cup on East African sports and Tanzania's growth  economy  and women's sporting empowerment,https://www.thecitizen.co.tz/tanzania/sports/impact-of-the-2025-women-s-rugby-world-cup-on-east-african-sports-5241676,,
Tanzania,The Citizen,Operational error blamed for first SGR accident  services resume,2025-10-24,Tanzania has recorded its first standard gauge railway (SGR) accident since electric train operations began  following the derailment of an electric multiple unit (EMU) train at Ruvu in Coast...,https://www.thecitizen.co.tz/tanzania/news/national/operational-error-blamed-for-first-sgr-accident-services-resume-5242774,,
Tanzania,The Citizen,Ethanol set for key role in clean cooking switch,2025-10-24,Tanzania is gearing up for a clean energy transformation as ethanol emerges as a homegrown solution to the country’s long-standing dependence on charcoal and firewood for cooking,https://www.thecitizen.co.tz/tanzania/business/ethanol-set-to-play-an-important-role-in-tanzania-s-clean-cooking-transition-5242748,,
Tanzania,The Citizen,Pakistan’s rising economic pressures  debt challenges  and climate strain,2025-10-24,Pakistan is confronting a deepening poverty challenge driven by a combination of economic  structural  and environmental factors. Between fiscal years 2020 and 2025  fluctuations in inflation...,https://www.thecitizen.co.tz/tanzania/news/international/pakistan-s-rising-economic-pressures-debt-challenges-and-climate-strain-5245416,,
